0,2024-09-07 13:16:24.184885," Business Development Executive, GBS LE GSL job in   D.C.  at Gartner | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/8656607/Business-Development-Executive-Gbs-Le-Gsl-D-C
1,2024-09-07 13:16:24.184885," Business Development Executive, LE, GBS job in   D.C.  at Gartner | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/9201854/Business-Development-Executive-Le-Gbs-D-C
2,2024-09-07 13:16:24.184885," Technical Program Manager job in  Washington,   D.C.  at Nava Public Benefit Corp | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/9122971/Technical-Program-Manager-D-C-Washington
3,2024-09-07 13:16:24.184885," Psychiatry Account Manager - Washington North, DC job in  Washington,   D.C.  at Lundbeck | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/8602549/Psychiatry-Account-Manager-Washington-North-Dc-D-C-Washington
4,2024-09-07 13:16:24.184885," Lead Government Accounting and Compliance Analyst job in   D.C.  at Saab, Inc. | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/9048065/Lead-Government-Accounting-Compliance-Analyst-D-C
5,2024-09-07 13:16:24.184885," Field Service Engineer I job in   D.C.  at Cytek Biosciences, Inc. | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/9022708/Field-Service-Engineer-I-D-C
6,2024-09-07 13:16:24.184885," Sales Engineer Manager, Federal Civilian job in   D.C.  at Snowflake | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/8964243/Sales-Engineer-Manager-Federal-Civilian-D-C
7,2024-09-07 13:16:24.184885," Senior District Manager, Federal Civilian job in   D.C.  at Snowflake | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/8964072/Senior-District-Manager-Federal-Civilian-D-C
8,2024-09-07 13:16:24.184885, Sales Engineer job in   D.C.  at Snowflake | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/8961493/Sales-Engineer-D-C
9,2024-09-07 13:16:24.184885, Product Marketing Manager job in   D.C.  at ZOLL Cardiac Management Solutions | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/8956222/Product-Marketing-Manager-D-C
10,2024-09-07 13:16:24.184885," Regional Sales Manager, Federal Government - DC Metro job in   D.C.  at EBSCO Industries Inc. | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/8915241/Regional-Sales-Manager-Federal-Government-Dc-Metro-D-C
