0,2024-09-17 13:21:09.841872," Partner Business Manager, DoD Channels job in   D.C.  at  Zscaler, Inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/9358364/Partner-Business-Manager-Dod-Channels-D-C
1,2024-09-17 13:21:09.841872," Manager, Private Equity and Hedge Fund Accounting (REMOTE) job in   D.C.  at  SEI  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/9286706/Manager-Private-Equity-Hedge-Fund-Accounting-Remote-D-C
2,2024-09-17 13:21:09.841872," Cost Engineer/Consultant job in   D.C.  at  Project Time & Cost, LLC  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/8521424/Cost-Engineer-Consultant-D-C
3,2024-09-17 13:21:09.841872," Territory Manager (Ostomy Care) - Washington D.C. job in  Washington,   D.C.  at  Coloplast  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/9254137/Territory-Manager-Ostomy-Care-Washington-D-C-D-C-Washington
4,2024-09-17 13:21:09.841872, Regional Technical Manager (Northeast) - Grid Edge Solutions job in   D.C.  at  Hitachi Energy  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/9238935/Regional-Technical-Manager-Northeast-Grid-Edge-Solutions-D-C
5,2024-09-17 13:21:09.841872," Public Sector Marketing Manager job in  Washington,   D.C.  at  RingCentral, Inc  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/8117221/Public-Sector-Marketing-Manager-D-C-Washington
6,2024-09-17 13:21:09.841872, User Support Analyst job in   D.C.  at  Stout  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/8614945/User-Support-Analyst-D-C
7,2024-09-17 13:21:09.841872," Business Development Executive, GBS LE GSL job in   D.C.  at  Gartner  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/8656607/Business-Development-Executive-Gbs-Le-Gsl-D-C
8,2024-09-17 13:21:09.841872," Business Development Executive, LE, GBS job in   D.C.  at  Gartner  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/9201854/Business-Development-Executive-Le-Gbs-D-C
9,2024-09-17 13:21:09.841872," Sr. Sales Manager (Global Starlink Enterprise Sales) - North America job in  Washington,   D.C.  at  SpaceX  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/8441229/Sr-Sales-Manager-Global-Starlink-Enterprise-Sales-North-America-D-C-Washington
10,2024-09-17 13:21:09.841872," Retail People Business Partner job in  Washington,   D.C.  at  Apple, Inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/8750282/Retail-People-Business-Partner-D-C-Washington
11,2024-09-17 13:21:09.841872," Technical Program Manager job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/9122971/Technical-Program-Manager-D-C-Washington
12,2024-09-17 13:21:09.841872," Psychiatry Account Manager - Washington North, DC job in  Washington,   D.C.  at  Lundbeck  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/8602549/Psychiatry-Account-Manager-Washington-North-Dc-D-C-Washington
