0,2024-10-02 13:22:01.394350," Account Manager - East job in  Washington,   D.C.  at  Harmless Harvest  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/9590718/Account-Manager-East-D-C-Washington
1,2024-10-02 13:22:01.394350," Technical Program Manager job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/9122971/Technical-Program-Manager-D-C-Washington
2,2024-10-02 13:22:01.394350, User Support Analyst job in   D.C.  at  Stout  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/8614945/User-Support-Analyst-D-C
3,2024-10-02 13:22:01.394350, Program Manager II job in   D.C.  at  CDW  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/9582471/Program-Manager-Ii-D-C
4,2024-10-02 13:22:01.394350," Division Manager, Pharmaceutical & Dry Eye - Baltimore/DC job in  Washington,   D.C.  at  Alcon  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/9582412/Division-Manager-Pharmaceutical-Dry-Eye-Baltimore-Dc-D-C-Washington
5,2024-10-02 13:22:01.394350," Project Manager, Service Delivery job in   D.C.  at  Zayo Group  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/9581914/Project-Manager-Service-Delivery-D-C
6,2024-10-02 13:22:01.394350," Sr. Sales Manager (Global Starlink Enterprise Sales) - North America job in  Washington,   D.C.  at  SpaceX  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/8441229/Sr-Sales-Manager-Global-Starlink-Enterprise-Sales-North-America-D-C-Washington
7,2024-10-02 13:22:01.394350," Project Manager job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/8861155/Project-Manager-D-C-Washington
8,2024-10-02 13:22:01.394350," Software Engineer  (FHIR) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/8861203/Software-Engineer-Fhir-D-C-Washington
9,2024-10-02 13:22:01.394350," Software Engineer (Java) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/8861187/Software-Engineer-Java-D-C-Washington
10,2024-10-02 13:22:01.394350, Senior Software Engineer - Mobile (Android) - Umo job in   D.C.  at  Cubic Corporation  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/9548058/Senior-Software-Engineer-Mobile-Android-Umo-D-C
11,2024-10-02 13:22:01.394350," Partner Sales Engineer - Distribution job in   D.C.  at  Zscaler, Inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/9501527/Partner-Sales-Engineer-Distribution-D-C
12,2024-10-02 13:22:01.394350, Sr. Practice Manager job in   D.C.  at  Snowflake  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/9475978/Sr-Practice-Manager-D-C
13,2024-10-02 13:22:01.394350, Senior Manager- Field Services (East Coast) job in   D.C.  at  Cencora  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/9471535/Senior-Manager-Field-Services-East-Coast-D-C
