0,2024-10-04 13:21:47.511266, Senior Engineer - Federal job in   D.C.  at  Lumen Technologies  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/9627278/Senior-Engineer-Federal-D-C
1,2024-10-04 13:21:47.511266," Senior Software Engineer (Salesforce) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/9623093/Senior-Software-Engineer-Salesforce-D-C-Washington
2,2024-10-04 13:21:47.511266," Division Manager, Pharmaceutical & Dry Eye - Baltimore/DC job in  Washington,   D.C.  at  Alcon  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/9582412/Division-Manager-Pharmaceutical-Dry-Eye-Baltimore-Dc-D-C-Washington
3,2024-10-04 13:21:47.511266," Analyst, Analyst Relations job in  Washington,   D.C.  at  Forrester Research, Inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/9581656/Analyst-Analyst-Relations-D-C-Washington
4,2024-10-04 13:21:47.511266," Business Development Analyst job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/8861166/Business-Development-Analyst-D-C-Washington
5,2024-10-04 13:21:47.511266," Business Development Executive, GBS LE GSL job in   D.C.  at  Gartner  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/8656607/Business-Development-Executive-Gbs-Le-Gsl-D-C
6,2024-10-04 13:21:47.511266," Sr. Sales Manager (Global Starlink Enterprise Sales) - North America job in  Washington,   D.C.  at  SpaceX  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/8441229/Sr-Sales-Manager-Global-Starlink-Enterprise-Sales-North-America-D-C-Washington
7,2024-10-04 13:21:47.511266," Project Manager job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/8861155/Project-Manager-D-C-Washington
8,2024-10-04 13:21:47.511266," Software Engineer  (FHIR) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/8861203/Software-Engineer-Fhir-D-C-Washington
9,2024-10-04 13:21:47.511266," Software Engineer (Java) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/8861187/Software-Engineer-Java-D-C-Washington
10,2024-10-04 13:21:47.511266, Senior Software Engineer - Mobile (Android) - Umo job in   D.C.  at  Cubic Corporation  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/9548058/Senior-Software-Engineer-Mobile-Android-Umo-D-C
11,2024-10-04 13:21:47.511266," Partner Sales Engineer - Distribution job in   D.C.  at  Zscaler, Inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/9501527/Partner-Sales-Engineer-Distribution-D-C
12,2024-10-04 13:21:47.511266, Sr. Practice Manager job in   D.C.  at  Snowflake  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/9475978/Sr-Practice-Manager-D-C
13,2024-10-04 13:21:47.511266, Senior Manager- Field Services (East Coast) job in   D.C.  at  Cencora  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/9471535/Senior-Manager-Field-Services-East-Coast-D-C
