0,2024-10-18 13:22:19.103006, Sr. Practice Manager job in   D.C.  at  Snowflake  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/9475978/Sr-Practice-Manager-D-C
1,2024-10-18 13:22:19.103006," Product Manager job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/9237720/Product-Manager-D-C-Washington
2,2024-10-18 13:22:19.103006," Sr. Software Engineer (Backend) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/9444432/Sr-Software-Engineer-Backend-D-C-Washington
3,2024-10-18 13:22:19.103006," Manager/Senior Manager, Sales - Central/East job in   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/9771191/Manager-Senior-Manager-Sales-Central-East-D-C
4,2024-10-18 13:22:19.103006," Territory Manager (Ostomy Care) - Washington D.C. job in  Washington,   D.C.  at  Coloplast  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/9254137/Territory-Manager-Ostomy-Care-Washington-D-C-D-C-Washington
5,2024-10-18 13:22:19.103006, Senior Project Manager - Federal job in   D.C.  at  Lumen Technologies  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/9627236/Senior-Project-Manager-Federal-D-C
6,2024-10-18 13:22:19.103006," Field Service Engineer, Washington, D.C. job in   D.C.  at  10x Genomics Inc  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/8147849/Field-Service-Engineer-Washington-D-C-D-C
7,2024-10-18 13:22:19.103006," Lead Supply Chain Proposal Analyst job in   D.C.  at  Saab, Inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/9732038/Lead-Supply-Chain-Proposal-Analyst-D-C
8,2024-10-18 13:22:19.103006," Senior Program Manager job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/9731106/Senior-Program-Manager-D-C-Washington
9,2024-10-18 13:22:19.103006, Model-Based Software Engineer - 100% Remote job in   D.C.  at  Arcfield  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/9475836/Model-Based-Software-Engineer-100-Remote-D-C
10,2024-10-18 13:22:19.103006," Business Development Executive, GBS LE job in   D.C.  at  Gartner  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/8656607/Business-Development-Executive-Gbs-Le-Gsl-D-C
11,2024-10-18 13:22:19.103006," Software Engineering Manager job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/9680538/Software-Engineering-Manager-D-C-Washington
12,2024-10-18 13:22:19.103006," Software Engineer (EDI Gateway) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/9680537/Software-Engineer-Edi-Gateway-D-C-Washington
13,2024-10-18 13:22:19.103006, Website Content Manager job in   D.C.  at  Stout  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/8128702/Website-Content-Manager-D-C
14,2024-10-18 13:22:19.103006," Accounting Operations Manager job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/9336407/Accounting-Operations-Manager-D-C-Washington
15,2024-10-18 13:22:19.103006," Manager, Private Equity and Hedge Fund Accounting (REMOTE) job in   D.C.  at  SEI  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/9286706/Manager-Private-Equity-Hedge-Fund-Accounting-Remote-D-C
16,2024-10-18 13:22:19.103006," Senior Manager, Systems Engineering with TS/SCI clearance (on site Northern Virginia) job in   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/9667201/Senior-Manager-Systems-Engineering-With-Ts-Sci-Clearance-On-Site-Northern-Virginia-D-C
17,2024-10-18 13:22:19.103006, Lead Software Engineer (Serverless and Java) job in   D.C.  at  Association of American Medical Colleges  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/8769887/Lead-Software-Engineer-Serverless-Java-D-C
18,2024-10-18 13:22:19.103006," Business Development Executive, LE, Marketing & Communications Practice job in   D.C.  at  Gartner  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/9201854/Business-Development-Executive-Le-Gbs-D-C
19,2024-10-18 13:22:19.103006, Senior Engineer - Federal job in   D.C.  at  Lumen Technologies  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/9627278/Senior-Engineer-Federal-D-C
