0,2024-10-29 13:23:22.479986," Director, Program Management job in   D.C.  at  Saab, Inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/9982022/Director-Program-Management-D-C
1,2024-10-29 13:23:22.479986," Business Development Executive, LE, Marketing & Communications Practice job in   D.C.  at  Gartner  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/9201854/Business-Development-Executive-Le-Gbs-D-C
2,2024-10-29 13:23:22.479986," Regional Business Director job in  Washington,   D.C.  at  Syneos Health/ inVentiv Health Commercial LLC  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/9604618/Key-Account-Director-D-C-Washington
3,2024-10-29 13:23:22.479986," Technical Program Manager job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/9122971/Technical-Program-Manager-D-C-Washington
4,2024-10-29 13:23:22.479986," Training and Compliance Manager, Customer Operations job in   D.C.  at  Incora  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/9882874/Training-Compliance-Manager-Customer-Operations-D-C
5,2024-10-29 13:23:22.479986," Manager/Senior Manager, Sales - Central/East job in   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/9771191/Manager-Senior-Manager-Sales-Central-East-D-C
6,2024-10-29 13:23:22.479986," Business Development Analyst job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/8861166/Business-Development-Analyst-D-C-Washington
7,2024-10-29 13:23:22.479986," Senior Sales Engineer, Federal Civilian job in   D.C.  at  Snowflake  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/9928412/Senior-Sales-Engineer-Federal-Civilian-D-C
8,2024-10-29 13:23:22.479986," Sr. Manager, Education and Customer Engagement job in   D.C.  at  McKesson Corporation  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/9870846/Sr-Manager-Education-Customer-Engagement-D-C
9,2024-10-29 13:23:22.479986," Sr. Manager, Education and Customer Engagement job in   D.C.  at  McKesson Corporation  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/9870846/Sr-Manager-Education-Customer-Engagement-D-C
10,2024-10-29 13:23:22.479986," Software Engineer  (FHIR) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/8861203/Software-Engineer-Fhir-D-C-Washington
11,2024-10-29 13:23:22.479986," Software Engineer (Java) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/8861187/Software-Engineer-Java-D-C-Washington
12,2024-10-29 13:23:22.479986," Sr. Sales Manager (Global Starlink Enterprise Sales) - North America job in  Washington,   D.C.  at  SpaceX  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/8441229/Sr-Sales-Manager-Global-Starlink-Enterprise-Sales-North-America-D-C-Washington
