0,2024-10-31 13:22:31.630116," Senior Sales Engineer - MidAtlantic job in   D.C.  at  Zscaler, Inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/10022612/Senior-Sales-Engineer-Midatlantic-D-C
1,2024-10-31 13:22:31.630116," Territory Account Manager job in  Washington,   D.C.  at  Syneos Health/ inVentiv Health Commercial LLC  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/10018195/Territory-Account-Manager-D-C-Washington
2,2024-10-31 13:22:31.630116," Manager, Private Equity and Hedge Fund Accounting (REMOTE) job in   D.C.  at  SEI  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/9286706/Manager-Private-Equity-Hedge-Fund-Accounting-Remote-D-C
3,2024-10-31 13:22:31.630116, Capture Manager job in   D.C.  at  Arcfield  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/10011465/Capture-Manager-D-C
4,2024-10-31 13:22:31.630116," Director, Program Management job in   D.C.  at  Saab, Inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/9982022/Director-Program-Management-D-C
5,2024-10-31 13:22:31.630116," Project Manager job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/8861155/Project-Manager-D-C-Washington
6,2024-10-31 13:22:31.630116," Technical Program Manager job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/9122971/Technical-Program-Manager-D-C-Washington
7,2024-10-31 13:22:31.630116," Training and Compliance Manager, Customer Operations job in   D.C.  at  Incora  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/9882874/Training-Compliance-Manager-Customer-Operations-D-C
8,2024-10-31 13:22:31.630116," Business Development Analyst job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/8861166/Business-Development-Analyst-D-C-Washington
9,2024-10-31 13:22:31.630116," Senior Sales Engineer, Federal Civilian job in   D.C.  at  Snowflake  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/9928412/Senior-Sales-Engineer-Federal-Civilian-D-C
10,2024-10-31 13:22:31.630116," Software Engineer  (FHIR) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/8861203/Software-Engineer-Fhir-D-C-Washington
11,2024-10-31 13:22:31.630116," Software Engineer (Java) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/8861187/Software-Engineer-Java-D-C-Washington
12,2024-10-31 13:22:31.630116," Sr. Sales Manager (Global Starlink Enterprise Sales) - North America job in  Washington,   D.C.  at  SpaceX  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/8441229/Sr-Sales-Manager-Global-Starlink-Enterprise-Sales-North-America-D-C-Washington
