0,2025-02-04 13:20:37.241720," Legal and Compliance Analyst job in  Washington,   D.C.  at  SpaceX  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/11250488/Legal-Compliance-Analyst-D-C-Washington
1,2025-02-04 13:20:37.241720," Regional Account Manager, Inside Sales East  - Vision job in   D.C.  at  Cencora  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/10921500/Regional-Account-Manager-Inside-Sales-East-Vision-D-C
2,2025-02-04 13:20:37.241720," Software Engineer (Salesforce) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/8861178/Software-Engineer-Salesforce-D-C-Washington
3,2025-02-04 13:20:37.241720," Senior Manager, Customer Implementation job in   D.C.  at  ZOLL Resuscitation  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/11219533/Senior-Manager-Customer-Implementation-D-C
4,2025-02-04 13:20:37.241720," Senior Technical Program Manager, Bug Bounty job in   D.C.  at  hackerone  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/11200034/Senior-Technical-Program-Manager-Bug-Bounty-D-C
5,2025-02-04 13:20:37.241720, Staff Product Manager job in   D.C.  at  hackerone  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/11200029/Staff-Product-Manager-D-C
6,2025-02-04 13:20:37.241720, Senior Product Operations Manager job in   D.C.  at  hackerone  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/11200017/Senior-Product-Operations-Manager-D-C
7,2025-02-04 13:20:37.241720," Senior Sales Engineer (US Public Sector) job in  Washington,   D.C.  at  Ping Identity Corporation  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/11184207/Senior-Sales-Engineer-Us-Public-Sector-D-C-Washington
8,2025-02-04 13:20:37.241720, Cyber Business Development Manager job in   D.C.  at  Aon  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/10845871/Cyber-Business-Development-Manager-D-C
9,2025-02-04 13:20:37.241720," Senior Sales Engineer, Federal Civilian job in   D.C.  at  Snowflake  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/11155362/Senior-Sales-Engineer-Federal-Civilian-D-C
10,2025-02-04 13:20:37.241720, Director Business Development & Client Relations job in   D.C.  at  Cencora  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/11096326/Director-Business-Development-Client-Relations-D-C
