0,2025-02-16 13:17:00.902178," Release Manager job in   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/11382234/Release-Manager-D-C
1,2025-02-16 13:17:00.902178, Spotfire Field and Customer Marketing Manager job in   D.C.  at  Citrix Systems  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/10920203/Spotfire-Field-Customer-Marketing-Manager-D-C
2,2025-02-16 13:17:00.902178, Biomolecular Field Service Representative- Campus Hire Program job in   D.C.  at  Agilent Technologies  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/11440215/Biomolecular-Field-Service-Representative-Campus-Hire-Program-D-C
3,2025-02-16 13:17:00.902178," Account Manager, Data Center Colocations job in   D.C.  at  Hitachi Energy  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/10124507/Account-Manager-Data-Center-Colocations-D-C
4,2025-02-16 13:17:00.902178," Strategic Solution Engineer job in  Washington,   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/11397231/Strategic-Solution-Engineer-D-C-Washington
5,2025-02-16 13:17:00.902178," Business Development Analyst job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/8861166/Business-Development-Analyst-D-C-Washington
6,2025-02-16 13:17:00.902178," Senior Manager, Client Services (Fleet Services) job in  Washington,   D.C.  at  Cox  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/11379379/Senior-Manager-Client-Services-Fleet-Services-D-C-Washington
7,2025-02-16 13:17:00.902178," Business Development Executive, Supply Chain, LE job in   D.C.  at  Gartner  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/10932316/Business-Development-Executive-Supply-Chain-Le-D-C
8,2025-02-16 13:17:00.902178," Sr. Director Analyst, IT Modernization and IT Strategy for U.S. Federal Government Agencies (Remote-Eastern US) job in   D.C.  at  Gartner  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/10265176/Sr-Director-Analyst-U-S-Federal-Government-It-Modernization-Digital-Transformation-Remote-Eastern-Us-D-C
9,2025-02-16 13:17:00.902178," Field Operations Manager, Public Sector job in   D.C.  at  Snowflake  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/10892226/Field-Operations-Manager-Public-Sector-D-C
10,2025-02-16 13:17:00.902178, Senior Data Cloud Architect job in   D.C.  at  Snowflake  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/10090954/Senior-Data-Cloud-Architect-D-C
11,2025-02-16 13:17:00.902178," Infrastructure Engineer  (Software) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/10437859/Infrastructure-Engineer-Software-D-C-Washington
12,2025-02-16 13:17:00.902178," Tribal Liaison Manager job in  Washington,   D.C.  at  American Forest Foundation  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/10958660/Tribal-Liaison-Manager-D-C-Washington
13,2025-02-16 13:17:00.902178," Solutions Engineer, Public Sector job in  Washington,   D.C.  at  Box  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/10885915/Solutions-Engineer-Public-Sector-D-C-Washington
