0,2025-03-14 13:22:01.652633, Supply Chain Analyst II job in   D.C.  at  Cencora  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/11813733/Supply-Chain-Analyst-Ii-D-C
1,2025-03-14 13:22:01.652633," Lead Solution Engineer, State & Local, EAST job in   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/11654723/Lead-Solution-Engineer-State-Local-East-D-C
2,2025-03-14 13:22:01.652633," Partner Sales Manager, SLED job in   D.C.  at  Snowflake  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/11772236/Partner-Sales-Manager-Sled-D-C
3,2025-03-14 13:22:01.652633," District Sales Manager - Washington, DC job in   D.C.  at  Brasseler USA  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/11766962/District-Sales-Manager-Washington-Dc-D-C
4,2025-03-14 13:22:01.652633, Leadership Development Program Leader job in   D.C.  at  Association of American Medical Colleges  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/11756671/Leadership-Development-Program-Leader-D-C
5,2025-03-14 13:22:01.652633," Manager Product Revenue job in   D.C.  at  Willdan Group, Inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/11753840/Manager-Product-Revenue-D-C
6,2025-03-14 13:22:01.652633, Category Manager job in   D.C.  at  Cubic Corporation  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/11753184/Category-Manager-D-C
7,2025-03-14 13:22:01.652633," Director, Program Management job in   D.C.  at  Saab, Inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/11490865/Director-Program-Management-D-C
8,2025-03-14 13:22:01.652633," Senior Staff Systems Engineer job in   D.C.  at  Saab, Inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/11646939/Senior-Staff-Systems-Engineer-D-C
9,2025-03-14 13:22:01.652633," Senior Staff Radar Systems Engineer Analyst job in   D.C.  at  Saab, Inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/11669259/Senior-Staff-Radar-Systems-Engineer-Analyst-D-C
10,2025-03-14 13:22:01.652633," Contracts Manager job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/11715221/Contracts-Manager-D-C-Washington
11,2025-03-14 13:22:01.652633, Business Development Director job in   D.C.  at  MasTec Communications Group  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/11696137/Business-Development-Director-D-C
12,2025-03-14 13:22:01.652633," Paralegal/Legal Compliance Analyst job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/11688512/Legal-Compliance-Analyst-D-C-Washington
