0,2025-03-21 13:23:39.061091," Manager, Solution Engineering job in   D.C.  at  Snowflake  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/11895957/Manager-Solution-Engineering-D-C
1,2025-03-21 13:23:39.061091," Principal Software Engineer - FHIR job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/10315369/Principal-Software-Engineer-Fhir-D-C-Washington
2,2025-03-21 13:23:39.061091, Product Marketing Manager job in   D.C.  at  Cencora  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/11869308/Product-Marketing-Manager-D-C
3,2025-03-21 13:23:39.061091, Systems/Sales Engineer - RoIP job in   D.C.  at  Cubic Corporation  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/11850453/Systems-Sales-Engineer-Roip-D-C
4,2025-03-21 13:23:39.061091," Customer Success Manager III job in  Washington,   D.C.  at  Forrester Research, Inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/11847512/Customer-Success-Manager-Iii-D-C-Washington
5,2025-03-21 13:23:39.061091, System Safety Engineer job in   D.C.  at  Technology Service Corporation  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/11472246/System-Safety-Engineer-D-C
6,2025-03-21 13:23:39.061091," Manager, ERAS and Specialty Communications job in   D.C.  at  Association of American Medical Colleges  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/11832508/Manager-Eras-Specialty-Communications-D-C
7,2025-03-21 13:23:39.061091, Public Sector Marketing Manager job in   D.C.  at  Citrix Systems  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/11830032/Public-Sector-Marketing-Manager-D-C
8,2025-03-21 13:23:39.061091, Supply Chain Analyst II job in   D.C.  at  Cencora  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/11813733/Supply-Chain-Analyst-Ii-D-C
9,2025-03-21 13:23:39.061091, Spotfire Field and Customer Marketing Manager job in   D.C.  at  Citrix Systems  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/10920203/Spotfire-Field-Customer-Marketing-Manager-D-C
10,2025-03-21 13:23:39.061091, Director Business Development- Healthcare Sales job in   D.C.  at  Cencora  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/11780519/Director-Business-Development-Healthcare-Sales-D-C
11,2025-03-21 13:23:39.061091," Partner Sales Manager, SLED job in   D.C.  at  Snowflake  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/11772236/Partner-Sales-Manager-Sled-D-C
12,2025-03-21 13:23:39.061091," District Sales Manager - Washington, DC job in   D.C.  at  Brasseler USA  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/11766962/District-Sales-Manager-Washington-Dc-D-C
13,2025-03-21 13:23:39.061091, Category Manager job in   D.C.  at  Cubic Corporation  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/11753184/Category-Manager-D-C
