0,2025-03-22 13:18:49.949185," Sr. Business Development Manager job in   D.C.  at  T-MOBILE USA, Inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/11911791/Sr-Business-Development-Manager-D-C
1,2025-03-22 13:18:49.949185, Key Account Manager - US Healthcare job in   D.C.  at  Solenis LLC  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/11905787/Key-Account-Manager-Us-Healthcare-D-C
2,2025-03-22 13:18:49.949185," Senior Data Analytics Developer job in  Washington,   D.C.  at  Henry Schein  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/11902005/Senior-Data-Analytics-Developer-D-C-Washington
3,2025-03-22 13:18:49.949185, Senior Product Marketing Manager job in   D.C.  at  Cencora  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/11874069/Senior-Product-Marketing-Manager-D-C
4,2025-03-22 13:18:49.949185, Business Development Manager job in   D.C.  at  Taylor Corporation  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/11870721/Business-Development-Manager-D-C
5,2025-03-22 13:18:49.949185," Senior Product Marketing Manager, Public Sector job in  Washington,   D.C.  at  Box  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/11043823/Senior-Product-Marketing-Manager-Public-Sector-D-C-Washington
6,2025-03-22 13:18:49.949185, Content Marketing Manager job in   D.C.  at  Cencora  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/11869366/Content-Marketing-Manager-D-C
7,2025-03-22 13:18:49.949185, Product Marketing Manager job in   D.C.  at  Cencora  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/11869308/Product-Marketing-Manager-D-C
8,2025-03-22 13:18:49.949185, Systems/Sales Engineer - RoIP job in   D.C.  at  Cubic Corporation  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/11850453/Systems-Sales-Engineer-Roip-D-C
9,2025-03-22 13:18:49.949185," Customer Success Manager III job in  Washington,   D.C.  at  Forrester Research, Inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/11847512/Customer-Success-Manager-Iii-D-C-Washington
10,2025-03-22 13:18:49.949185, System Safety Engineer job in   D.C.  at  Technology Service Corporation  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/11472246/System-Safety-Engineer-D-C
11,2025-03-22 13:18:49.949185," Manager, ERAS and Specialty Communications job in   D.C.  at  Association of American Medical Colleges  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/11832508/Manager-Eras-Specialty-Communications-D-C
12,2025-03-22 13:18:49.949185, Public Sector Marketing Manager job in   D.C.  at  Citrix Systems  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/11830032/Public-Sector-Marketing-Manager-D-C
13,2025-03-22 13:18:49.949185, Supply Chain Analyst II job in   D.C.  at  Cencora  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/11813733/Supply-Chain-Analyst-Ii-D-C
14,2025-03-22 13:18:49.949185, Spotfire Field and Customer Marketing Manager job in   D.C.  at  Citrix Systems  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/10920203/Spotfire-Field-Customer-Marketing-Manager-D-C
15,2025-03-22 13:18:49.949185, Director Business Development- Healthcare Sales job in   D.C.  at  Cencora  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/11780519/Director-Business-Development-Healthcare-Sales-D-C
16,2025-03-22 13:18:49.949185," Partner Sales Manager, SLED job in   D.C.  at  Snowflake  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/11772236/Partner-Sales-Manager-Sled-D-C
17,2025-03-22 13:18:49.949185," District Sales Manager - Washington, DC job in   D.C.  at  Brasseler USA  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/11766962/District-Sales-Manager-Washington-Dc-D-C
