0,2025-04-04 13:24:35.562769, Inside Channel Manager II job in   D.C.  at  Lumen Technologies  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/12077909/Inside-Channel-Manager-Ii-D-C
1,2025-04-04 13:24:35.562769," Senior Staff Systems Engineer job in   D.C.  at  Saab, Inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12075994/Senior-Staff-Systems-Engineer-D-C
2,2025-04-04 13:24:35.562769," Senior Staff Radar Systems Engineer Analyst job in   D.C.  at  Saab, Inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12075991/Senior-Staff-Radar-Systems-Engineer-Analyst-D-C
3,2025-04-04 13:24:35.562769," Program Manager job in  Washington,   D.C.  at  Patrona Corporation  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/11958882/Program-Manager-D-C-Washington
4,2025-04-04 13:24:35.562769," Co-Op, Machine Learning - Simulation Engineer job in   D.C.  at  Saab, Inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12048480/Co-Op-Machine-Learning-Simulation-Engineer-D-C
5,2025-04-04 13:24:35.562769," Sr Project Manager job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12039078/Sr-Project-Manager-D-C-Washington
6,2025-04-04 13:24:35.562769," Sr. Software Engineer (Ruby) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/10614908/Sr-Software-Engineer-Ruby-D-C-Washington
7,2025-04-04 13:24:35.562769," Senior Manager, Federal System Integrators job in  Washington,   D.C.  at  Box  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12030508/Senior-Manager-Federal-System-Integrators-D-C-Washington
8,2025-04-04 13:24:35.562769," Financial Analyst (Project Controls Analyst) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12016007/Financial-Analyst-Project-Controls-Analyst-D-C-Washington
9,2025-04-04 13:24:35.562769," Senior Pricing Analyst job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12016005/Senior-Pricing-Analyst-D-C-Washington
10,2025-04-04 13:24:35.562769," Senior Software Engineer in Test job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/11148998/Software-Testing-Engineer-D-C-Washington
11,2025-04-04 13:24:35.562769," Project Development Engineer II job in   D.C.  at  Willdan Group, Inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/11312087/Project-Development-Engineer-Ii-D-C
12,2025-04-04 13:24:35.562769," Territory Manager, Bioprocessing job in  Washington,   D.C.  at  Getinge  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/11973289/Territory-Manager-Bioprocessing-D-C-Washington
13,2025-04-04 13:24:35.562769," Business Development Analyst job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/8861166/Business-Development-Analyst-D-C-Washington
14,2025-04-04 13:24:35.562769," Senior Tax Analyst job in  Washington,   D.C.  at  Forrester Research, Inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/11958632/Senior-Tax-Analyst-D-C-Washington
15,2025-04-04 13:24:35.562769," Manager, ERAS and Specialty Communications job in   D.C.  at  Association of American Medical Colleges  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/11832508/Manager-Eras-Specialty-Communications-D-C
16,2025-04-04 13:24:35.562769, Director Business Development Market Access Healthcare Consulting job in   D.C.  at  Cencora  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/11096326/Director-Business-Development-Client-Relations-D-C
17,2025-04-04 13:24:35.562769," Senior Partner Sales Engineer (US Public Sector) job in  Washington,   D.C.  at  Ping Identity Corporation  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/11184207/Senior-Sales-Engineer-Us-Public-Sector-D-C-Washington
18,2025-04-04 13:24:35.562769," Senior Partner Sales Engineer (US Public Sector) job in  Washington,   D.C.  at  Ping Identity Corporation  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/11184207/Senior-Sales-Engineer-Us-Public-Sector-D-C-Washington
19,2025-04-04 13:24:35.562769, Senior Product Marketing Manager - Public Sector job in   D.C.  at  Snowflake  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/10849993/Senior-Product-Marketing-Manager-Public-Sector-D-C
20,2025-04-04 13:24:35.562769," Oncology Account Manager job in  Washington,   D.C.  at  Syneos Health/ inVentiv Health Commercial LLC  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/11917514/Oncology-Account-Manager-D-C-Washington
21,2025-04-04 13:24:35.562769, Sr. Product Manager job in   D.C.  at  BetMGM  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/11912593/Sr-Product-Manager-D-C
22,2025-04-04 13:24:35.562769," Sr. Business Development Manager job in   D.C.  at  T-MOBILE USA, Inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/11911791/Sr-Business-Development-Manager-D-C
23,2025-04-04 13:24:35.562769," Senior Data Analytics Developer job in  Washington,   D.C.  at  Henry Schein  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/11902005/Senior-Data-Analytics-Developer-D-C-Washington
24,2025-04-04 13:24:35.562769," Principal Software Engineer - FHIR job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/10315369/Principal-Software-Engineer-Fhir-D-C-Washington
