0,2025-04-14 13:26:53.107784, Senior Financial Analyst job in   D.C.  at  M9 Solutions  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/11966328/Senior-Financial-Analyst
1,2025-04-14 13:26:53.107784," Lead Engineer - Consulting and Services job in   D.C.  at  Genesys Cloud Services, Inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12164258/Lead-Engineer-Consulting-Services-D-C
2,2025-04-14 13:26:53.107784, Manager Solution Architecture Intelligence Community job in   D.C.  at  Lumen Technologies  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/12061770/Manager-Solution-Architecture-Intelligence-Community-D-C
3,2025-04-14 13:26:53.107784, Manager Solution Architecture DoD Accounts job in   D.C.  at  Lumen Technologies  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/12061700/Manager-Solution-Architecture-Dod-Accounts-D-C
4,2025-04-14 13:26:53.107784," Senior Manager Software Engineering, Core Mobile (Slack) job in   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12150538/Senior-Manager-Software-Engineering-Core-Mobile-Slack-D-C
5,2025-04-14 13:26:53.107784," Senior Manager Software Engineering, Core Mobile (Slack) job in  Washington,   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12150500/Senior-Manager-Software-Engineering-Core-Mobile-Slack-D-C-Washington
6,2025-04-14 13:26:53.107784," Territory Account Manager job in  Washington,   D.C.  at  Syneos Health/ inVentiv Health Commercial LLC  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12136282/Territory-Account-Manager-D-C-Washington
7,2025-04-14 13:26:53.107784," Senior Manager of Payroll & Benefits job in  Washington,   D.C.  at  States United Democracy Center  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12123474/Senior-Manager-Payroll-Benefits-D-C-Washington
8,2025-04-14 13:26:53.107784, Director Business Development- Healthcare Sales job in   D.C.  at  Cencora  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/11780519/Director-Business-Development-Healthcare-Sales-D-C
9,2025-04-14 13:26:53.107784," Customer Success Manager II job in  Washington,   D.C.  at  Forrester Research, Inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12119404/Customer-Success-Manager-Ii-D-C-Washington
10,2025-04-14 13:26:53.107784, Spotfire Senior Field and Customer Marketing Manager job in   D.C.  at  Citrix Systems  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/10920203/Spotfire-Field-Customer-Marketing-Manager-D-C
11,2025-04-14 13:26:53.107784," Sr. Delivery Manager, Infrastructure job in   D.C.  at  BetMGM  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/10475111/Sr-Delivery-Manager-Infrastructure-D-C
12,2025-04-14 13:26:53.107784," District Sales Manager - Washington, DC job in   D.C.  at  Brasseler USA  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/11766962/District-Sales-Manager-Washington-Dc-D-C
13,2025-04-14 13:26:53.107784, Category Manager job in   D.C.  at  Cubic Corporation  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/11753184/Category-Manager-D-C
14,2025-04-14 13:26:53.107784," Sr Solution Engineer Nonprofit Mid Market Team job in  Washington,   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/11940802/Sr-Solution-Engineer-Nonprofit-Mid-Market-Team-D-C-Washington
15,2025-04-14 13:26:53.107784, Support Account Manager job in   D.C.  at  Snowflake  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/12090854/Support-Account-Manager-D-C
16,2025-04-14 13:26:53.107784," Program Manager CS (Remote US) - Defined Term job in  Washington,   D.C.  at  Getinge  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12084612/Program-Manager-Cs-Remote-Us-Defined-Term-D-C-Washington
