0,2025-04-18 13:23:36.669834, Quality & Regulatory (Q&R) Data Analytics Manager job in   D.C.  at  Avantor  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/12239530/Quality-Regulatory-Q-R-Data-Analytics-Manager-D-C
1,2025-04-18 13:23:36.669834, Sr. Product Manager job in   D.C.  at  BetMGM  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/11912593/Sr-Product-Manager-D-C
2,2025-04-18 13:23:36.669834," Senior Manager Software Engineering, Core Mobile (Slack) job in  Washington,   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12150500/Senior-Manager-Software-Engineering-Core-Mobile-Slack-D-C-Washington
3,2025-04-18 13:23:36.669834," Senior Manager Software Engineering, Core Mobile (Slack) job in   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12150538/Senior-Manager-Software-Engineering-Core-Mobile-Slack-D-C
4,2025-04-18 13:23:36.669834," Sr. Customer Success Manager job in   D.C.  at  Genesys Cloud Services, Inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12199700/Sr-Customer-Success-Manager-D-C
5,2025-04-18 13:23:36.669834," Senior Regional Manager (Northeast Region) job in  Washington,   D.C.  at  Western Governors University  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12126531/Senior-Regional-Manager-Northeast-Region-D-C-Washington
6,2025-04-18 13:23:36.669834," Product Manager job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/9237720/Product-Manager-D-C-Washington
7,2025-04-18 13:23:36.669834, Systems/Sales Engineer - RoIP job in   D.C.  at  Cubic Corporation  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/11850453/Systems-Sales-Engineer-Roip-D-C
8,2025-04-18 13:23:36.669834," Catering Sales Manager job in  Washington,   D.C.  at  Coffee and Bagel Brands  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12181130/Catering-Sales-Manager-D-C-Washington
9,2025-04-18 13:23:36.669834," Principal Software Engineer - FHIR job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/10315369/Principal-Software-Engineer-Fhir-D-C-Washington
10,2025-04-18 13:23:36.669834, Public Sector Marketing Manager job in   D.C.  at  Citrix Systems  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/11830032/Public-Sector-Marketing-Manager-D-C
11,2025-04-18 13:23:36.669834," Regional Director of Business Development job in   D.C.  at  Willdan Group, Inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12174637/Regional-Director-Business-Development-D-C
12,2025-04-18 13:23:36.669834," Senior Regional Marketing Manager, Washington, D.C. job in  Washington,   D.C.  at  Western Governors University  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/11857916/Senior-Regional-Marketing-Manager-Salt-Lake-City-Ut-Utah-Salt-Lake-City
13,2025-04-18 13:23:36.669834, Senior Financial Analyst job in   D.C.  at  M9 Solutions  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/11966328/Senior-Financial-Analyst
14,2025-04-18 13:23:36.669834," Lead Engineer - Consulting and Services job in   D.C.  at  Genesys Cloud Services, Inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12164258/Lead-Engineer-Consulting-Services-D-C
