0,2025-05-01 13:24:48.678413, Budget Analyst Lead job in   D.C.  at  M9 Solutions  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/11966330/Budget-Analyst-Lead
1,2025-05-01 13:24:48.678413," Client Solutions  Manager - Federal VA job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12369965/Client-Solutions-Manager-Federal-Va-D-C-Washington
2,2025-05-01 13:24:48.678413," Senior Staff Radar Systems Engineer Analyst job in   D.C.  at  Saab, Inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12075991/Senior-Staff-Radar-Systems-Engineer-Analyst-D-C
3,2025-05-01 13:24:48.678413," Senior Staff Systems Engineer job in   D.C.  at  Saab, Inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12075994/Senior-Staff-Systems-Engineer-D-C
4,2025-05-01 13:24:48.678413," Senior Regional Manager (Northeast Region) job in  Washington,   D.C.  at  Western Governors University  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12126531/Senior-Regional-Manager-Northeast-Region-D-C-Washington
5,2025-05-01 13:24:48.678413," Sr Solution Engineer Nonprofit Mid Market Team job in  Washington,   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/11940802/Sr-Solution-Engineer-Nonprofit-Mid-Market-Team-D-C-Washington
6,2025-05-01 13:24:48.678413," Senior Regional Marketing Manager, Washington, D.C. job in  Washington,   D.C.  at  Western Governors University  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/11857916/Senior-Regional-Marketing-Manager-Salt-Lake-City-Ut-Utah-Salt-Lake-City
7,2025-05-01 13:24:48.678413," Senior Counsel - Data Governance, Privacy, and Cybersecurity job in   D.C.  at  Cencora  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12336979/Senior-Counsel-Data-Governance-Privacy-Cybersecurity-D-C
8,2025-05-01 13:24:48.678413," Senior Pricing Analyst job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12016005/Senior-Pricing-Analyst-D-C-Washington
9,2025-05-01 13:24:48.678413, Manager Solution Architecture Intelligence Community job in   D.C.  at  Lumen Technologies  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/12061770/Manager-Solution-Architecture-Intelligence-Community-D-C
10,2025-05-01 13:24:48.678413, Manager Solution Architecture DoD Accounts job in   D.C.  at  Lumen Technologies  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/12061700/Manager-Solution-Architecture-Dod-Accounts-D-C
11,2025-05-01 13:24:48.678413, Business Development Representative job in   D.C.  at  Tobii Dynavox  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/12287746/Business-Development-Representative-D-C
12,2025-05-01 13:24:48.678413," Senior Data Analytics Developer job in  Washington,   D.C.  at  Henry Schein  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/11902005/Senior-Data-Analytics-Developer-D-C-Washington
13,2025-05-01 13:24:48.678413," Project Development Engineer II job in   D.C.  at  Willdan Group, Inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/11312087/Project-Development-Engineer-Ii-D-C
14,2025-05-01 13:24:48.678413," Project Development Engineer II job in   D.C.  at  Willdan Group, Inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/11312087/Project-Development-Engineer-Ii-D-C
15,2025-05-01 13:24:48.678413, Disability Case Manager - Virtual job in   D.C.  at  Alight Solutions  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/11606949/Disability-Case-Manager-Virtual-D-C
16,2025-05-01 13:24:48.678413," Senior Sales Engineer (US Public Sector) job in  Washington,   D.C.  at  Ping Identity Corporation  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12262346/Senior-Sales-Engineer-Us-Public-Sector-D-C-Washington
