0,2025-05-09 13:26:30.450523, Public Sector Full Stack Engineer job in   D.C.  at  Snowflake  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/12491738/Public-Sector-Full-Stack-Engineer-D-C
1,2025-05-09 13:26:30.450523," Lead Solution Engineer, Marketing Cloud, Public Sector job in  Washington,   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12450994/Lead-Solution-Engineer-Marketing-Cloud-Public-Sector-D-C-Washington
2,2025-05-09 13:26:30.450523," Technical Product Manager, Platforms & Infrastructure job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12480751/Technical-Product-Manager-Platforms-Infrastructure-D-C-Washington
3,2025-05-09 13:26:30.450523," Lead Engineer - Consulting and Services job in   D.C.  at  Genesys Cloud Services, Inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12164258/Lead-Engineer-Consulting-Services-D-C
4,2025-05-09 13:26:30.450523," Sr. Delivery Manager, Infrastructure job in   D.C.  at  BetMGM  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/10475111/Sr-Delivery-Manager-Infrastructure-D-C
5,2025-05-09 13:26:30.450523," Principal Software Engineer (Data Engineering) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/11851924/Data-Engineer-D-C-Washington
6,2025-05-09 13:26:30.450523," Alliance Manager job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12422540/Alliance-Manager-D-C-Washington
7,2025-05-09 13:26:30.450523," Territory Manager, Bioprocessing job in  Washington,   D.C.  at  Getinge  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/11973289/Territory-Manager-Bioprocessing-D-C-Washington
8,2025-05-09 13:26:30.450523, Spotfire Senior Field and Customer Marketing Manager job in   D.C.  at  Citrix Systems  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/10920203/Spotfire-Field-Customer-Marketing-Manager-D-C
9,2025-05-09 13:26:30.450523," Principal Software Engineer (Data Architect) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12067350/Enterprise-Data-Architect-D-C-Washington
10,2025-05-09 13:26:30.450523," Senior Manager of Payroll & Benefits job in  Washington,   D.C.  at  States United Democracy Center  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12123474/Senior-Manager-Payroll-Benefits-D-C-Washington
11,2025-05-09 13:26:30.450523," US Enterprise Sustainability Systems Manager job in  Washington,   D.C.  at  Henry Schein  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12413875/Us-Enterprise-Sustainability-Systems-Manager-D-C-Washington
12,2025-05-09 13:26:30.450523," Partner Manager, Federal System Integrators job in  Washington,   D.C.  at  Box  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12030508/Senior-Manager-Federal-System-Integrators-D-C-Washington
13,2025-05-09 13:26:30.450523, Animal Health Program Specialist II job in   D.C.  at  Cencora  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/12385367/Animal-Health-Program-Specialist-Ii-D-C
14,2025-05-09 13:26:30.450523," Business Development Executive, Supply Chain, LE job in   D.C.  at  Gartner  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/10932316/Business-Development-Executive-Supply-Chain-Le-D-C
