0,2025-05-15 13:27:22.505499," Government Affairs Manager job in  Washington,   D.C.  at  DocuSign  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12577674/Government-Affairs-Manager-D-C-Washington
1,2025-05-15 13:27:22.505499, Mobile Cranes Regional Sales Manager job in   D.C.  at  Terex Corporation  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/12573551/Mobile-Cranes-Regional-Sales-Manager-D-C
2,2025-05-15 13:27:22.505499, Business Development Manager job in   D.C.  at  ENGIE North America Inc.  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/12573244/Business-Development-Manager-D-C
3,2025-05-15 13:27:22.505499, Systems Engineer - RoIP job in   D.C.  at  Cubic Corporation  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/11850453/Systems-Sales-Engineer-Roip-D-C
4,2025-05-15 13:27:22.505499, Business Development Manager-D.C job in   D.C.  at  Solenis LLC  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/12563231/Business-Development-Manager-D-C-D-C
5,2025-05-15 13:27:22.505499," Catering Sales Manager job in  Washington,   D.C.  at  Coffee and Bagel Brands  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12181130/Catering-Sales-Manager-D-C-Washington
6,2025-05-15 13:27:22.505499, Commercial Evaluations Analyst - Remote Opportunity job in   D.C.  at  First American  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/12500223/Commercial-Evaluations-Analyst-Remote-Opportunity-D-C
7,2025-05-15 13:27:22.505499, Contracts & Rebates Logic Analyst job in   D.C.  at  Cencora  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/12499799/Contracts-Rebates-Logic-Analyst-D-C
8,2025-05-15 13:27:22.505499, Public Sector Full Stack Engineer job in   D.C.  at  Snowflake  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/12491738/Public-Sector-Full-Stack-Engineer-D-C
9,2025-05-15 13:27:22.505499, Public Sector Marketing Manager job in   D.C.  at  Citrix Systems  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/11830032/Public-Sector-Marketing-Manager-D-C
10,2025-05-15 13:27:22.505499," Technical Product Manager, Platforms & Infrastructure job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12480751/Technical-Product-Manager-Platforms-Infrastructure-D-C-Washington
11,2025-05-15 13:27:22.505499," Lead Engineer - Consulting and Services job in   D.C.  at  Genesys Cloud Services, Inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12164258/Lead-Engineer-Consulting-Services-D-C
12,2025-05-15 13:27:22.505499," Principal Software Engineer (Data Engineering) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/11851924/Data-Engineer-D-C-Washington
13,2025-05-15 13:27:22.505499," Alliance Manager job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12422540/Alliance-Manager-D-C-Washington
14,2025-05-15 13:27:22.505499," Territory Manager, Bioprocessing job in  Washington,   D.C.  at  Getinge  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/11973289/Territory-Manager-Bioprocessing-D-C-Washington
15,2025-05-15 13:27:22.505499, Spotfire Senior Field and Customer Marketing Manager job in   D.C.  at  Citrix Systems  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/10920203/Spotfire-Field-Customer-Marketing-Manager-D-C
16,2025-05-15 13:27:22.505499," Principal Software Engineer (Data Architect) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12067350/Enterprise-Data-Architect-D-C-Washington
17,2025-05-15 13:27:22.505499," Senior Manager of Payroll & Benefits job in  Washington,   D.C.  at  States United Democracy Center  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12123474/Senior-Manager-Payroll-Benefits-D-C-Washington
18,2025-05-15 13:27:22.505499," US Enterprise Sustainability Systems Manager job in  Washington,   D.C.  at  Henry Schein  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12413875/Us-Enterprise-Sustainability-Systems-Manager-D-C-Washington
