0,2025-06-17 13:29:57.274842, Business Development Manager-D.C job in   D.C.  at  Solenis LLC  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/12563231/Business-Development-Manager-D-C-D-C
1,2025-06-17 13:29:57.274842," Mid Market Lead Solution Engineer: Non-profit job in  Washington,   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12795591/Mid-Market-Lead-Solution-Engineer-Non-Profit-D-C-Washington
2,2025-06-17 13:29:57.274842, DC Regional Manager job in   D.C.  at  Qlarant  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/12674475/Dc-Regional-Manager-D-C
3,2025-06-17 13:29:57.274842," Data Specialist job in  Washington,   D.C.  at  Chemonics International Inc  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12915982/Data-Specialist-D-C-Washington
4,2025-06-17 13:29:57.274842," Cobol Engineer job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12913593/Cobol-Engineer-D-C-Washington
5,2025-06-17 13:29:57.274842," Lead Solution Engineer, Marketing Cloud, Public Sector job in  Washington,   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12589932/Lead-Solution-Engineer-Marketing-Cloud-Public-Sector-D-C-Washington
6,2025-06-17 13:29:57.274842, Manager Solution Architecture DoD Accounts job in   D.C.  at  Lumen Technologies  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/12061700/Manager-Solution-Architecture-Dod-Accounts-D-C
7,2025-06-17 13:29:57.274842," Project Manager job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12905920/Project-Manager-D-C-Washington
8,2025-06-17 13:29:57.274842," Financial Analyst (Project Controls Analyst) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12016007/Financial-Analyst-Project-Controls-Analyst-D-C-Washington
9,2025-06-17 13:29:57.274842, Mobile Cranes Business Development Manager job in   D.C.  at  Terex Corporation  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/12573551/Mobile-Cranes-Regional-Sales-Manager-D-C
10,2025-06-17 13:29:57.274842, Field Account Manager job in   D.C.  at  Safelite Auto Glass  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/12892441/Field-Account-Manager-D-C
11,2025-06-17 13:29:57.274842," Software Engineer (Backend- Python) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12888588/Software-Engineer-Backend-Python-D-C-Washington
12,2025-06-17 13:29:57.274842," Data Engineer (Analytics) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12888587/Data-Engineer-Analytics-D-C-Washington
13,2025-06-17 13:29:57.274842," Sr.  Software Engineer (Fullstack-Eng Lead/Mgr) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12888586/Sr-Software-Engineer-Fullstack-Eng-Lead-Mgr-D-C-Washington
14,2025-06-17 13:29:57.274842," Software Engineer (Backend-Java) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12888584/Software-Engineer-Backend-Java-D-C-Washington
15,2025-06-17 13:29:57.274842," Sr. Software Engineer (Eng Lead/Manager) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12888583/Sr-Software-Engineer-Eng-Lead-Manager-D-C-Washington
16,2025-06-17 13:29:57.274842," Sr. Data Engineer (Engineering Lead) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12888582/Sr-Data-Engineer-Engineering-Lead-D-C-Washington
17,2025-06-17 13:29:57.274842," Sr. Software Engineer (Backend-Manager) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12888581/Sr-Software-Engineer-Backend-Manager-D-C-Washington
18,2025-06-17 13:29:57.274842," Sr Software Engineer (Fullstack- Java) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12888579/Sr-Software-Engineer-Fullstack-Java-D-C-Washington
19,2025-06-17 13:29:57.274842," Business Development Associate, Corporate job in  Washington,   D.C.  at  The Hanover Research Council  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12881113/Business-Development-Associate-Corporate-D-C-Washington
20,2025-06-17 13:29:57.274842, Sr. Product Manager job in   D.C.  at  BetMGM  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/11912593/Sr-Product-Manager-D-C
21,2025-06-17 13:29:57.274842, Business Development Executive - IT Services Sales job in   D.C.  at  TD SYNNEX  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/12280381/Business-Development-Executive-D-C
