0,2025-06-18 13:31:24.912796, Technology Implementation Manager job in   D.C.  at  BetMGM  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/12962463/Technology-Implementation-Manager-D-C
1,2025-06-18 13:31:24.912796," Senior Solutions Engineer, Public Sector job in  Washington,   D.C.  at  Box  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12515932/Senior-Solutions-Engineer-Public-Sector-D-C-Washington
2,2025-06-18 13:31:24.912796, Systems Engineer - RoIP job in   D.C.  at  Cubic Corporation  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/11850453/Systems-Sales-Engineer-Roip-D-C
3,2025-06-18 13:31:24.912796," Senior Counsel - Data Governance, Privacy, and Cybersecurity job in   D.C.  at  Cencora  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12336979/Senior-Counsel-Data-Governance-Privacy-Cybersecurity-D-C
4,2025-06-18 13:31:24.912796, Federal GSA Program Manager job in   D.C.  at  CDW  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/12220290/Federal-Gsa-Program-Manager-D-C
5,2025-06-18 13:31:24.912796, Solution Engineer - Data Engineering job in   D.C.  at  Snowflake  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/12916856/Solution-Engineer-Data-Engineering-D-C
6,2025-06-18 13:31:24.912796," Data Specialist job in  Washington,   D.C.  at  Chemonics International Inc  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12915982/Data-Specialist-D-C-Washington
7,2025-06-18 13:31:24.912796," Cobol Engineer job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12913593/Cobol-Engineer-D-C-Washington
8,2025-06-18 13:31:24.912796, Manager Solution Architecture DoD Accounts job in   D.C.  at  Lumen Technologies  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/12061700/Manager-Solution-Architecture-Dod-Accounts-D-C
9,2025-06-18 13:31:24.912796," Project Manager job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12905920/Project-Manager-D-C-Washington
10,2025-06-18 13:31:24.912796," Financial Analyst (Project Controls Analyst) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12016007/Financial-Analyst-Project-Controls-Analyst-D-C-Washington
