0,2025-07-11 13:30:18.143638, Project Engineer job in   D.C.  at  ABB Inc.  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/13189430/Project-Engineer-D-C
1,2025-07-11 13:30:18.143638, Integrated Marcom Strategic Events Manager - Bioscience Production job in   D.C.  at  Avantor  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/13236354/Integrated-Marcom-Strategic-Events-Manager-Bioscience-Production-D-C
2,2025-07-11 13:30:18.143638," Principal Software Engineer - FHIR job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/10315369/Principal-Software-Engineer-Fhir-D-C-Washington
3,2025-07-11 13:30:18.143638," Senior Technical Engagement Manager job in   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/13226840/Senior-Technical-Engagement-Manager-D-C
4,2025-07-11 13:30:18.143638, DC Regional Manager job in   D.C.  at  Qlarant  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/12674475/Dc-Regional-Manager-D-C
5,2025-07-11 13:30:18.143638," Software Engineer (Backend-Java) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12888584/Software-Engineer-Backend-Java-D-C-Washington
6,2025-07-11 13:30:18.143638," Resident Engineer - Washington, D.C. job in   D.C.  at  Zscaler, Inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12931311/Resident-Engineer
7,2025-07-11 13:30:18.143638, Manager Solution Architecture DoD Accounts job in   D.C.  at  Lumen Technologies  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/12061700/Manager-Solution-Architecture-Dod-Accounts-D-C
8,2025-07-11 13:30:18.143638," Senior Counsel - Data Governance, Privacy, and Cybersecurity job in   D.C.  at  Cencora  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12336979/Senior-Counsel-Data-Governance-Privacy-Cybersecurity-D-C
9,2025-07-11 13:30:18.143638," People Operations Business Partner job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12314110/People-Operations-Business-Partner-D-C-Washington
10,2025-07-11 13:30:18.143638," Project Manager job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12905920/Project-Manager-D-C-Washington
