0,2025-08-21 13:27:19.303467," Software Engineer (1099) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/13755251/Software-Engineer-1099-D-C-Washington
1,2025-08-21 13:27:19.303467," Sr Infrastructure/Platform Engineering Manager job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/13755250/Sr-Infrastructure-Platform-Engineering-Manager-D-C-Washington
2,2025-08-21 13:27:19.303467," Product Manager (Fed Health) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/13751401/Product-Manager-Fed-Health-D-C-Washington
3,2025-08-21 13:27:19.303467, Media Relations Manager job in   D.C.  at  Citrix Systems  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/13623842/Media-Relations-Manager-D-C
4,2025-08-21 13:27:19.303467, Mobile Cranes Business Development Manager job in   D.C.  at  Terex Corporation  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/12573551/Mobile-Cranes-Regional-Sales-Manager-D-C
5,2025-08-21 13:27:19.303467, Solution Engineer - Data Engineering job in   D.C.  at  Snowflake  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/12916856/Solution-Engineer-Data-Engineering-D-C
6,2025-08-21 13:27:19.303467," Fund Accounting Manager, Alternative Investment Funds (HYBRID) NYC/CT job in   D.C.  at  SEI  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12676385/Fund-Accounting-Manager-Alternative-Investment-Funds-Hybrid-Nyc-Ct-D-C
7,2025-08-21 13:27:19.303467, Senior Principal Product Manager job in   D.C.  at  Citrix Systems  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/12989527/Senior-Principal-Product-Manager-D-C
8,2025-08-21 13:27:19.303467," Territory Account Manager job in  Washington,   D.C.  at  Syneos Health/ inVentiv Health Commercial LLC  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/13684124/Territory-Account-Manager-D-C-Washington
9,2025-08-21 13:27:19.303467," Sr. Software Engineer (Ruby) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/10614908/Sr-Software-Engineer-Ruby-D-C-Washington
10,2025-08-21 13:27:19.303467, Senior Content Marketing Manager (Operations & Digital Focus) job in   D.C.  at  Citrix Systems  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/13553283/Senior-Content-Marketing-Manager-Operations-Digital-Focus-D-C
11,2025-08-21 13:27:19.303467," Oncology Account Manager job in  Washington,   D.C.  at  Syneos Health/ inVentiv Health Commercial LLC  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/13650314/Oncology-Account-Manager-D-C-Washington
12,2025-08-21 13:27:19.303467," Business Development Executive, Supply Chain, LE job in   D.C.  at  Gartner  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/10932316/Business-Development-Executive-Supply-Chain-Le-D-C
13,2025-08-21 13:27:19.303467," Senior Manager, Systems Engineering with TS/SCI clearance job in   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/13106643/Senior-Manager-Systems-Engineering-With-Ts-Sci-Clearance-D-C
14,2025-08-21 13:27:19.303467," Senior Regional Manager - Northeast Region job in  Washington,   D.C.  at  Western Governors University  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/13621317/Senior-Regional-Manager-Northeast-Region-D-C-Washington
15,2025-08-21 13:27:19.303467," Senior Counsel - Data Governance, Privacy, and Cybersecurity job in   D.C.  at  Cencora  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12336979/Senior-Counsel-Data-Governance-Privacy-Cybersecurity-D-C
