0,2025-09-13 13:18:03.571641, SLCM-N Senior Program Analyst job in   D.C.  at  Arcfield  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/13721664/Slcm-N-Senior-Program-Analyst-D-C-Washington
1,2025-09-13 13:18:03.571641, Senior Content Marketing Manager (Operations & Digital Focus) job in   D.C.  at  Citrix Systems  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/13553283/Senior-Content-Marketing-Manager-Operations-Digital-Focus-D-C
2,2025-09-13 13:18:03.571641, Account Manager II - RE Expansion job in   D.C.  at  Lumen Technologies  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/13888944/Account-Manager-Ii-Re-Expansion-D-C
3,2025-09-13 13:18:03.571641," AI Forward Deployed Engineer (Senior/Lead/Principal) job in  Washington,   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/13452180/Forward-Deployed-Engineer-Multiple-Levels-D-C-Washington
4,2025-09-13 13:18:03.571641, Project Manager I - Cell & Gene Therapy (Sponsor-Dedicated/ Remote) job in   D.C.  at  Syneos Health/ inVentiv Health Commercial LLC  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/13989278/Project-Manager-I-Cell-Gene-Therapy-Sponsor-Dedicated-Remote-D-C
5,2025-09-13 13:18:03.571641," Senior Regional Manager - Northeast Region job in  Washington,   D.C.  at  Western Governors University  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/13621317/Senior-Regional-Manager-Northeast-Region-D-C-Washington
6,2025-09-13 13:18:03.571641," Regional Marketing Manager, North America job in   D.C.  at  Cubic Corporation  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/13976687/Regional-Marketing-Manager-North-America-D-C
7,2025-09-13 13:18:03.571641, Solutions Sales Manager job in   D.C.  at  Covanta  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/13973213/Solutions-Sales-Manager-D-C
8,2025-09-13 13:18:03.571641," Senior District Manager, Public Sector, Federal Civilian job in   D.C.  at  Snowflake  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/13973176/Senior-District-Manager-Public-Sector-Federal-Civilian-D-C
9,2025-09-13 13:18:03.571641," Software Engineer (Backend-Java) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12888584/Software-Engineer-Backend-Java-D-C-Washington
10,2025-09-13 13:18:03.571641, Business Development Manager job in   D.C.  at  ENGIE North America Inc.  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/12573244/Business-Development-Manager-D-C
11,2025-09-13 13:18:03.571641," Principal Software Engineer (FHIR) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/10315369/Principal-Software-Engineer-Fhir-D-C-Washington
12,2025-09-13 13:18:03.571641," Sr. Manager, Solution Consulting job in  Washington,   D.C.  at  DocuSign  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/11314191/Director-Solution-Consulting-Public-Sector-D-C-Washington
13,2025-09-13 13:18:03.571641, Local Trade Compliance Officer & Product Classification Engineer job in   D.C.  at  ABB Inc.  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/13025314/Local-Trade-Compliance-Officer-Product-Classification-Engineer-D-C
14,2025-09-13 13:18:03.571641, UX /UI Design Manager job in   D.C.  at  Toppan Merrill LLC  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/13937354/Ux-Ui-Design-Manager-D-C
15,2025-09-13 13:18:03.571641," Product Manager (Fed Health) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/13751401/Product-Manager-Fed-Health-D-C-Washington
16,2025-09-13 13:18:03.571641," Senior Manager, Systems Engineering with TS/SCI clearance job in   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/13106643/Senior-Manager-Systems-Engineering-With-Ts-Sci-Clearance-D-C
17,2025-09-13 13:18:03.571641," AWS DevOps Engineer job in  Washington,   D.C.  at  RingCentral, Inc  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/13928671/Aws-Devops-Engineer-D-C-Washington
