0,2025-10-28 13:28:14.015410, System Test Engineer job in   D.C.  at  Viasat  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/14617444/System-Test-Engineer-D-C
1,2025-10-28 13:28:14.015410," Agentic Data Specialist (Multiple Levels) job in  Washington,   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/13857562/Agentic-Integration-Specialist-Multiple-Levels-D-C-Washington
2,2025-10-28 13:28:14.015410," Principal Account Solution Engineer, Department of Defense: MuleSoft job in   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/14004627/Principal-Account-Solution-Engineer-Department-Defense-Mulesoft-D-C
3,2025-10-28 13:28:14.015410," Program Manager job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/14266166/Program-Manager-D-C-Washington
4,2025-10-28 13:28:14.015410," Principal Software Engineer (FHIR) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/10315369/Principal-Software-Engineer-Fhir-D-C-Washington
5,2025-10-28 13:28:14.015410," 1099 Talent Acquisition Data Specialist job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/14580081/1099-Talent-Acquisition-Data-Specialist-D-C-Washington
6,2025-10-28 13:28:14.015410, Field Reimbursement Manager job in   D.C.  at  McKesson Corporation  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/14576007/Field-Reimbursement-Manager-D-C
7,2025-10-28 13:28:14.015410, Manager - Commercial Delivery job in   D.C.  at  Cencora  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/14230420/Manager-Commercial-Delivery-D-C
8,2025-10-28 13:28:14.015410," Dealer.com Performance Manager job in  Washington,   D.C.  at  Cox  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/14451532/Dealer-Com-Performance-Manager-D-C-Washington
9,2025-10-28 13:28:14.015410, Product Catalog Manager job in   D.C.  at  Covanta  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/14561012/Product-Catalog-Manager-D-C
10,2025-10-28 13:28:14.015410," Software Engineer (Backend- Python) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12888588/Software-Engineer-Backend-Python-D-C-Washington
11,2025-10-28 13:28:14.015410," Sr. Software Engineer (Eng Lead/Manager) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12888583/Sr-Software-Engineer-Eng-Lead-Manager-D-C-Washington
12,2025-10-28 13:28:14.015410," Sr Software Engineer (Fullstack- Java) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12888579/Sr-Software-Engineer-Fullstack-Java-D-C-Washington
13,2025-10-28 13:28:14.015410, Protection & Control Engineer job in   D.C.  at  ABB Inc.  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/14102449/Senior-Project-Engineer-D-C
14,2025-10-28 13:28:14.015410," Skin Health District Sales Manager job in  Washington,   D.C.  at  Syneos Health/ inVentiv Health Commercial LLC  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/14532852/Skin-Health-District-Sales-Manager-D-C-Washington
15,2025-10-28 13:28:14.015410, Strategic Account Manager job in   D.C.  at  Terex Corporation  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/13853492/Strategic-Account-Manager-D-C
16,2025-10-28 13:28:14.015410," Business Development Executive, Supply Chain, LE job in   D.C.  at  Gartner  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/14228843/Business-Development-Executive-Supply-Chain-Le-D-C
