0,2025-12-03 13:33:31.585917, Federal Financial Analyst V job in   D.C.  at  Chevo Consulting  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/14106798/Federal-Financial-Analyst-V-D-C
1,2025-12-03 13:33:31.585917, Federal Financial Analyst IV job in   D.C.  at  Chevo Consulting  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/14106799/Federal-Financial-Analyst-Iv-D-C
2,2025-12-03 13:33:31.585917," Senior Manager, Public Policy, US Federal, NA job in   D.C.  at  Vantage Data Centers  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/13659806/Senior-Manager-Public-Policy-Us-Federal-Na-Virginia-Ashburn
3,2025-12-03 13:33:31.585917, State Policy Manager job in   D.C.  at  Hitachi Energy  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/14751611/State-Policy-Manager-D-C
4,2025-12-03 13:33:31.585917," Sr. Software Engineer (AI) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/14660499/Sr-Software-Engineer-Ai-D-C-Washington
5,2025-12-03 13:33:31.585917," Territory Account Manager job in  Washington,   D.C.  at  Syneos Health/ inVentiv Health Commercial LLC  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/14867463/Territory-Account-Manager-D-C-Washington
6,2025-12-03 13:33:31.585917," Executive Director, Business Development - Core job in  Washington,   D.C.  at  Syneos Health/ inVentiv Health Commercial LLC  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/14604484/Executive-Director-Business-Development-Core-D-C-Washington
7,2025-12-03 13:33:31.585917," Territory Manager, Bioprocessing job in  Washington,   D.C.  at  Getinge  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/14035476/Territory-Manager-Bioprocessing-D-C-Washington
8,2025-12-03 13:33:31.585917," Sr Software Engineer (Salesforce) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/14145458/Sr-Software-Engineer-Salesforce-D-C-Washington
9,2025-12-03 13:33:31.585917, Data Center COE Service Site Manager job in   D.C.  at  ABB Inc.  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/14382220/Data-Center-Coe-Service-Site-Manager-D-C
10,2025-12-03 13:33:31.585917," Senior District Manager, Public Sector, Federal Civilian job in   D.C.  at  Snowflake  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/13973176/Senior-District-Manager-Public-Sector-Federal-Civilian-D-C
11,2025-12-03 13:33:31.585917, Senior Project Engineer job in   D.C.  at  ABB Inc.  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/14522346/Senior-Project-Engineer-D-C
12,2025-12-03 13:33:31.585917, Commercial Proposal Engineer job in   D.C.  at  ABB Inc.  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/14728849/Commercial-Proposal-Engineer-D-C
13,2025-12-03 13:33:31.585917, Sr. Project Engineer job in   D.C.  at  ABB Inc.  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/14522403/Sr-Project-Engineer-D-C
14,2025-12-03 13:33:31.585917, Technical Product Manager job in   D.C.  at  Cencora  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/14962936/Technical-Product-Manager-D-C
15,2025-12-03 13:33:31.585917, Manager - Commercial Delivery job in   D.C.  at  Cencora  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/14230420/Manager-Commercial-Delivery-D-C
16,2025-12-03 13:33:31.585917, Principal Engineer job in   D.C.  at  Performance Review Institute (PRI)  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/14503246/Principal-Engineer-Specialist-D-C
17,2025-12-03 13:33:31.585917, Early Careers: Actuarial Sophomore Mentor Program job in   D.C.  at  Aon  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/13838940/Early-Careers-Actuarial-Sophomore-Mentor-Program-D-C
18,2025-12-03 13:33:31.585917," Business Development Executive, Supply Chain, LE job in   D.C.  at  Gartner  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/10932316/Business-Development-Executive-Supply-Chain-Le-D-C
