0,2025-12-24 13:29:53.627135, Sales Manager job in   D.C.  at  CDW  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/15187921/Sales-Manager-Virginia
1,2025-12-24 13:29:53.627135," Digital Experience Strategy, Manager job in  Washington,   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/15198230/Digital-Experience-Strategy-Manager-D-C-Washington
2,2025-12-24 13:29:53.627135," Field Reimbursement Manager job in  Washington,   D.C.  at  Syneos Health/ inVentiv Health Commercial LLC  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/15232359/Field-Reimbursement-Manager-D-C-Washington
3,2025-12-24 13:29:53.627135," Senior District Manager, Public Sector, Federal Civilian job in   D.C.  at  Snowflake  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/13973176/Senior-District-Manager-Public-Sector-Federal-Civilian-D-C
4,2025-12-24 13:29:53.627135," New Business Account Executive, LE GBS job in   D.C.  at  Gartner  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/15189649/New-Business-Account-Executive-Le-Gbs-D-C
5,2025-12-24 13:29:53.627135," Senior Manager, Wage and Hour - Disputes, Claims & Investigations job in   D.C.  at  Stout  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/15209527/Senior-Manager-Wage-Hour-Disputes-Claims-Investigations-D-C
6,2025-12-24 13:29:53.627135," Territory Sales Manager job in  Washington,   D.C.  at  Coloplast  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/15077184/Territory-Sales-Manager-Wisconsin-New-Berlin
7,2025-12-24 13:29:53.627135," Business Development Executive, Supply Chain, LE job in   D.C.  at  Gartner  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/10932316/Business-Development-Executive-Supply-Chain-Le-D-C
8,2025-12-24 13:29:53.627135, Cisco Call Manager Engineer job in   D.C.  at  CDW  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/15187912/Cisco-Call-Manager-Engineer-D-C
9,2025-12-24 13:29:53.627135," Senior Manager, Technology Implementation job in   D.C.  at  BetMGM  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/14933886/Senior-Manager-Technology-Implementation-D-C
10,2025-12-24 13:29:53.627135," Business Services and Operations Specialist job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/14678199/Business-Services-Operations-Specialist-D-C-Washington
11,2025-12-24 13:29:53.627135, Sr. Policy Analyst job in   D.C.  at  ZERO TO THREE  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/14324907/Sr-Policy-Analyst-D-C
12,2025-12-24 13:29:53.627135," Software Engineer (Backend-Python) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12888588/Software-Engineer-Backend-Python-D-C-Washington
13,2025-12-24 13:29:53.627135," Sr. Software Engineer  (FHIR/Interoperability) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/15163191/Sr-Software-Engineer-Fhir-Interoperability-D-C-Washington
14,2025-12-24 13:29:53.627135, Business Analyst (Funding Operations) job in   D.C.  at  First American  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/15052729/Business-Analyst-Funding-Operations-D-C
15,2025-12-24 13:29:53.627135, Hospital Integration Engineer job in   D.C.  at  ZOLL Resuscitation  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/15158933/Hospital-Integration-Engineer-D-C
16,2025-12-24 13:29:53.627135, Sr. Technical Delivery Manager job in   D.C.  at  BetMGM  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/15156168/Sr-Technical-Delivery-Manager-D-C
17,2025-12-24 13:29:53.627135, Sales Manager job in   D.C.  at  ENGIE North America Inc.  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/15152860/Sales-Manager-D-C
18,2025-12-24 13:29:53.627135," Business Development Analyst job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/14925208/Business-Development-Analyst-D-C-Washington
19,2025-12-24 13:29:53.627135," Business Development Executive, Procurement, LE job in   D.C.  at  Gartner  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/14903781/Business-Development-Executive-Procurement-Le-D-C
20,2025-12-24 13:29:53.627135," Sr. Software Engineer (Eng Lead/Manager) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12888583/Sr-Software-Engineer-Eng-Lead-Manager-D-C-Washington
