0,2026-01-14 13:38:08.524810," Territory Sales Manager job in  Washington,   D.C.  at  Coloplast  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/15077184/Territory-Sales-Manager-Wisconsin-New-Berlin
1,2026-01-14 13:38:08.524810," Territory Manager, Bioprocessing job in  Washington,   D.C.  at  Getinge  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/14035476/Territory-Manager-Bioprocessing-D-C-Washington
2,2026-01-14 13:38:08.524810," Sales Manager, Events job in   D.C.  at  Performance Review Institute (PRI)  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/15090772/Sales-Manager-Events-D-C
3,2026-01-14 13:38:08.524810, Sr. Technical Delivery Manager job in   D.C.  at  BetMGM  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/15156168/Sr-Technical-Delivery-Manager-D-C
4,2026-01-14 13:38:08.524810, Sales Manager job in   D.C.  at  ENGIE North America Inc.  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/15152860/Sales-Manager-D-C
5,2026-01-14 13:38:08.524810," Portfolio Manager, NextGear Capital (Baltimore/DC Market) job in  Washington,   D.C.  at  Cox  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/15097440/Portfolio-Manager-Nextgear-Capital-Baltimore-Dc-Market-D-C-Washington
6,2026-01-14 13:38:08.524810," Business Development Analyst job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/14925208/Business-Development-Analyst-D-C-Washington
7,2026-01-14 13:38:08.524810," Senior Data Scientist job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/14634036/Data-Scientist-D-C-Washington
8,2026-01-14 13:38:08.524810," Business Development Executive, Procurement, LE job in   D.C.  at  Gartner  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/14903781/Business-Development-Executive-Procurement-Le-D-C
9,2026-01-14 13:38:08.524810, Injection Systems Engineer - Equipment & Process Performance job in   D.C.  at  Amcor Rigid Packaging  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/14897363/Injection-Systems-Engineer-Equipment-Process-Performance-D-C
10,2026-01-14 13:38:08.524810," Sr. Software Engineer (Eng Lead/Manager) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/12888583/Sr-Software-Engineer-Eng-Lead-Manager-D-C-Washington
11,2026-01-14 13:38:08.524810, Regional VP/Sales Manager - East job in   D.C.  at  Terex Corporation  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/15327677/Regional-Vp-Sales-Manager-East-D-C
12,2026-01-14 13:38:08.524810, Business Analyst (Funding Operations) job in   D.C.  at  First American  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/15319151/Business-Analyst-Funding-Operations-D-C
13,2026-01-14 13:38:08.524810," Director of Engineering (FedHealth) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/15312004/Director-Engineering-Fedhealth-D-C-Washington
14,2026-01-14 13:38:08.524810," Principal Product Manager - Platform  (Relocate to the UK) job in  Washington,   D.C.  at  Samsara  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/15301668/Principal-Product-Manager-Platform-Relocate-To-The-Uk-D-C-Washington
15,2026-01-14 13:38:08.524810," Analyst, Healthcare Medical Coding - Disputes, Claims & Investigations job in   D.C.  at  Stout  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/15301314/Analyst-Healthcare-Coding-Disputes-Claims-Investigations-D-C
16,2026-01-14 13:38:08.524810, State Policy Manager job in   D.C.  at  Hitachi Energy  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/14751611/State-Policy-Manager-D-C
17,2026-01-14 13:38:08.524810, Business Development Manager - Data Center Cooling job in   D.C.  at  ABB Inc.  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/15053724/Hvacr-Business-Development-Manager-Data-Centers-D-C
18,2026-01-14 13:38:08.524810," Field Reimbursement Manager job in  Washington,   D.C.  at  Syneos Health/ inVentiv Health Commercial LLC  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/15232359/Field-Reimbursement-Manager-D-C-Washington
19,2026-01-14 13:38:08.524810, Veeva RIM Business Analyst job in   D.C.  at  Syneos Health/ inVentiv Health Commercial LLC  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/14438609/Veeva-Rim-Administrator-Manager-D-C
20,2026-01-14 13:38:08.524810," Territory Sales Manager job in  Washington,   D.C.  at  Syneos Health/ inVentiv Health Commercial LLC  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/15274229/Territory-Sales-Manager-D-C-Washington
21,2026-01-14 13:38:08.524810," Sr. Software Engineer (AI) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/14660499/Sr-Software-Engineer-Ai-D-C-Washington
22,2026-01-14 13:38:08.524810," Software Engineer Backend (GoLang) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/15026047/Software-Engineer-Backend-Golang-D-C-Washington
