0,2026-01-28 13:45:28.096638, Market Risk Manager job in   D.C.  at  Deriva Energy  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/15604370/Market-Risk-Manager-D-C
1,2026-01-28 13:45:28.096638, Regulatory Labeling Manager (NA and LATAM Only) job in   D.C.  at  Syneos Health/ inVentiv Health Commercial LLC  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/15600391/Regulatory-Labeling-Manager-Na-Latam-Only-D-C
2,2026-01-28 13:45:28.096638," Manager of External Reporting and Technical Accounting job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/15575646/Manager-External-Reporting-Technical-Accounting-D-C-Washington
3,2026-01-28 13:45:28.096638, Sr. Policy Analyst job in   D.C.  at  ZERO TO THREE  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/14324907/Sr-Policy-Analyst-D-C
4,2026-01-28 13:45:28.096638," Agentforce Net Zero Solution Engineer job in   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/15544019/Agentforce-Net-Zero-Solution-Engineer-D-C
5,2026-01-28 13:45:28.096638," Agentforce Net Zero Solution Engineer job in  Washington,   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/15543985/Agentforce-Net-Zero-Solution-Engineer-D-C-Washington
6,2026-01-28 13:45:28.096638," Senior Proposal Manager job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/15263484/Senior-Proposal-Manager-D-C-Washington
7,2026-01-28 13:45:28.096638," Senior Capture Manager - Federal job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/14943383/Senior-Capture-Manager-Federal-D-C-Washington
8,2026-01-28 13:45:28.096638," Sr. Software Engineer (AI) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/14660499/Sr-Software-Engineer-Ai-D-C-Washington
9,2026-01-28 13:45:28.096638," Software Engineer Backend (GoLang) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/15026047/Software-Engineer-Backend-Golang-D-C-Washington
10,2026-01-28 13:45:28.096638, Digital Sales Manager job in   D.C.  at  ZEISS Meditec Inc.  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/15533740/Digital-Sales-Manager-D-C
11,2026-01-28 13:45:28.096638," Executive Director, Business Development - Core job in  Washington,   D.C.  at  Syneos Health/ inVentiv Health Commercial LLC  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/14604484/Executive-Director-Business-Development-Core-D-C-Washington
12,2026-01-28 13:45:28.096638," Field Reimbursement Manager job in  Washington,   D.C.  at  Syneos Health/ inVentiv Health Commercial LLC  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/15232359/Field-Reimbursement-Manager-D-C-Washington
13,2026-01-28 13:45:28.096638," Sr. Program Manager job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/15559886/Sr-Program-Manager-D-C-Washington
14,2026-01-28 13:45:28.096638," Financial Analyst job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/15559885/Financial-Analyst-D-C-Washington
15,2026-01-28 13:45:28.096638," Analyst, Healthcare Medical Coding - Disputes, Claims & Investigations job in   D.C.  at  Stout  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/15559830/Analyst-Healthcare-Medical-Coding-Disputes-Claims-Investigations-D-C
16,2026-01-28 13:45:28.096638, Manager - Commercial Delivery job in   D.C.  at  Cencora  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/14230420/Manager-Commercial-Delivery-D-C
17,2026-01-28 13:45:28.096638, Treasury Settlement Analyst job in   D.C.  at  ENGIE North America Inc.  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/15555758/Treasury-Settlement-Analyst-D-C
18,2026-01-28 13:45:28.096638," Legacy Modernization Product Manager job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/15552937/Legacy-Lockpicks-Product-Manager-D-C-Washington
19,2026-01-28 13:45:28.096638," OSCER Product Manager job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/15552936/Oscer-Product-Manager-D-C-Washington
20,2026-01-28 13:45:28.096638," Senior Manager, Competitive Intelligence job in   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/15551560/Senior-Manager-Competitive-Intelligence-D-C
21,2026-01-28 13:45:28.096638, Technical Delivery Manager job in   D.C.  at  BetMGM  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/15267082/Technical-Delivery-Manager-D-C
22,2026-01-28 13:45:28.096638, 340B Senior Business Analyst job in   D.C.  at  Cencora  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/15475650/340b-Senior-Business-Analyst-D-C
23,2026-01-28 13:45:28.096638, Injection Systems Engineer - Equipment & Process Performance job in   D.C.  at  Amcor Rigid Packaging  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/14897363/Injection-Systems-Engineer-Equipment-Process-Performance-D-C
24,2026-01-28 13:45:28.096638, Senior Project Manager - Oncology/Hematology (Phase III) job in   D.C.  at  Syneos Health/ inVentiv Health Commercial LLC  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/15526958/Senior-Project-Manager-Oncology-Hematology-Phase-Iii-D-C
25,2026-01-28 13:45:28.096638," Senior Manager, Wage and Hour - Disputes, Claims & Investigations job in   D.C.  at  Stout  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/15209527/Senior-Manager-Wage-Hour-Disputes-Claims-Investigations-D-C
26,2026-01-28 13:45:28.096638," Senior Infrastructure Engineering Manager (FedHealth/Platform) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/15509095/Senior-Infrastructure-Engineering-Manager-Fedhealth-Platform-D-C-Washington
