0,2026-02-04 14:01:27.353286, 340B Senior Business Analyst job in   D.C.  at  Cencora  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/15475650/340b-Senior-Business-Analyst-D-C
1,2026-02-04 14:01:27.353286," Senior Capture Manager - States job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/15682022/Senior-Capture-Manager-States-D-C-Washington
2,2026-02-04 14:01:27.353286," Account Manager - Healthcare Packaging job in   D.C.  at  Amcor Flexibles, LLC  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/15648295/Account-Manager-Healthcare-Packaging-D-C
3,2026-02-04 14:01:27.353286, Senior Sales Engineer job in   D.C.  at  Ping Identity Corporation  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/15634136/Senior-Sales-Engineer-North-Carolina-Charlotte
4,2026-02-04 14:01:27.353286, Space Nuclear Systems Engineer job in   D.C.  at  Analytical Mechanics Associates  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/15626382/Space-Nuclear-Systems-Engineer-D-C
5,2026-02-04 14:01:27.353286, Project Manager job in   D.C.  at  ABB Inc.  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/15183242/Project-Manager-D-C
6,2026-02-04 14:01:27.353286, Regulatory Labeling Manager (NA and LATAM Only) job in   D.C.  at  Syneos Health/ inVentiv Health Commercial LLC  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/15600391/Regulatory-Labeling-Manager-Na-Latam-Only-D-C
7,2026-02-04 14:01:27.353286, Business Development Manager - Data Center Cooling job in   D.C.  at  ABB Inc.  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/15053724/Hvacr-Business-Development-Manager-Data-Centers-D-C
8,2026-02-04 14:01:27.353286, Key Account Manager - Digital Automation & Controls job in   D.C.  at  ABB Inc.  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/15585791/Key-Account-Manager-Digital-Automation-Controls-D-C
9,2026-02-04 14:01:27.353286," Consultant Product Marketing Manager job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/15584610/1099-Product-Marketing-Manager-D-C-Washington
10,2026-02-04 14:01:27.353286," Automation Test Engineer job in   D.C.  at  Karsun Solutions, LLC  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/15581212/Automation-Test-Engineer-D-C
11,2026-02-04 14:01:27.353286," Software Engineer (Ruby) job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/10246959/Software-Engineer-Ruby-D-C-Washington
12,2026-02-04 14:01:27.353286," Manager of External Reporting and Technical Accounting job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/15575646/Manager-External-Reporting-Technical-Accounting-D-C-Washington
13,2026-02-04 14:01:27.353286, Sr. Policy Analyst job in   D.C.  at  ZERO TO THREE  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/14324907/Sr-Policy-Analyst-D-C
14,2026-02-04 14:01:27.353286," Senior Proposal Manager job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/15263484/Senior-Proposal-Manager-D-C-Washington
15,2026-02-04 14:01:27.353286," Senior Capture Manager - Federal job in  Washington,   D.C.  at  Nava Public Benefit Corp  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/14943383/Senior-Capture-Manager-Federal-D-C-Washington
