0,2026-02-28 13:34:33.700444, Software Engineer II job in   D.C.  at  AVAILITY  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/15995406/Software-Engineer-Ii-D-C
1,2026-02-28 13:34:33.700444, Legal Compliance Manager job in   D.C.  at  Recorded Future  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/15988714/Legal-Compliance-Manager-D-C
2,2026-02-28 13:34:33.700444, Senior Configuration Management Analyst job in   D.C.  at  Technology Service Corporation  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/15971626/Senior-Configuration-Management-Analyst-D-C
3,2026-02-28 13:34:33.700444, Injection Systems Engineer - Equipment & Process Performance job in   D.C.  at  Amcor Rigid Packaging  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/14897363/Injection-Systems-Engineer-Equipment-Process-Performance-D-C
4,2026-02-28 13:34:33.700444, Client Manager - Alight Leave Solutions job in   D.C.  at  Alight Solutions  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/15717493/Client-Manager-Alight-Leave-Solutions-D-C
5,2026-02-28 13:34:33.700444," Account Manager - Healthcare Packaging job in   D.C.  at  Amcor Flexibles, LLC  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/15648295/Account-Manager-Healthcare-Packaging-D-C
6,2026-02-28 13:34:33.700444," Sr. Controls Engineer job in   D.C.  at  Plug Power, Inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/15919556/Sr-Controls-Engineer-D-C
7,2026-02-28 13:34:33.700444," Field Reimbursement Manager job in  Washington,   D.C.  at  Syneos Health/ inVentiv Health Commercial LLC  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/15232359/Field-Reimbursement-Manager-D-C-Washington
8,2026-02-28 13:34:33.700444," Director, Business Development - Core job in  Washington,   D.C.  at  Syneos Health/ inVentiv Health Commercial LLC  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/14604484/Executive-Director-Business-Development-Core-D-C-Washington
9,2026-02-28 13:34:33.700444," Psychiatric Account Manager job in  Washington,   D.C.  at  Syneos Health/ inVentiv Health Commercial LLC  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/15737663/Psychiatric-Account-Manager-D-C-Washington
10,2026-02-28 13:34:33.700444, Project Manager job in   D.C.  at  ABB Inc.  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/15183242/Project-Manager-D-C
11,2026-02-28 13:34:33.700444, Business Development Manager - Data Center Cooling job in   D.C.  at  ABB Inc.  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/15053724/Hvacr-Business-Development-Manager-Data-Centers-D-C
12,2026-02-28 13:34:33.700444, Key Account Manager - Digital Automation & Controls job in   D.C.  at  ABB Inc.  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/15585791/Key-Account-Manager-Digital-Automation-Controls-D-C
