0,2026-04-09 14:51:42.678540," Customer Support Analyst - PA-CC-Q2-2006- R002 job in   D.C.  at  SS&C Technologies, Inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/16470617/Customer-Support-Analyst-Pa-Cc-Q2-2006-R002-D-C
1,2026-04-09 14:51:42.678540," Sr. Manager, Proposal Operations & Strategic Contract Vehicles job in  Washington,   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/16287456/Sr-Manager-Proposal-Operations-Strategic-Contract-Vehicles-D-C-Washington
2,2026-04-09 14:51:42.678540," Senior Project Manager job in  Washington,   D.C.  at  Skill  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/16147801/Senior-Project-Manager-D-C-Washington
3,2026-04-09 14:51:42.678540," Alliances - Partner Account Manager job in  Washington,   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/16233453/Alliances-Partner-Account-Manager-D-C-Washington
4,2026-04-09 14:51:42.678540," Manager, Government Procurement & Process Strategist job in  Washington,   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/16287449/Manager-Government-Procurement-Process-Strategist-D-C-Washington
5,2026-04-09 14:51:42.678540," Manager, Government Procurement & Process Strategist job in   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/16287409/Manager-Government-Procurement-Process-Strategist-D-C
6,2026-04-09 14:51:42.678540, OEM Account Manager job in   D.C.  at  ABB Inc.  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/16274794/Oem-Account-Manager-D-C
7,2026-04-09 14:51:42.678540," Senior Manager, Account Technical Strategist job in   D.C.  at  Citrix Systems  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/16435915/Senior-Manager-Account-Technical-Strategist-D-C
8,2026-04-09 14:51:42.678540, Digital Automation & Control Project Manager job in   D.C.  at  ABB Inc.  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/15813979/Digital-Automation-Control-Project-Manager-D-C
9,2026-04-09 14:51:42.678540," Missionforce - Associate Forward Deployed Engineer (FDE), Public Sector job in  Washington,   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/16136091/Missionforce-Associate-Forward-Deployed-Engineer-Fde-Public-Sector-D-C-Washington
10,2026-04-09 14:51:42.678540, Manager Applications and Data Services job in   D.C.  at  Skill  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/16147796/Manager-Applications-Data-Services-D-C
11,2026-04-09 14:51:42.678540, Academic Centers Manager job in   D.C.  at  ZEISS Meditec Inc.  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/16416259/Academic-Centers-Manager-D-C
12,2026-04-09 14:51:42.678540," Customer Succes Manager, Senior Manager-Mulesoft job in   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/16073118/Customer-Succes-Manager-Senior-Manager-Mulesoft-D-C
13,2026-04-09 14:51:42.678540," Key Account Manager job in  Washington,   D.C.  at  Syneos Health/ inVentiv Health Commercial LLC  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/16408672/Key-Account-Manager-D-C-Washington
14,2026-04-09 14:51:42.678540," Catering Sales Manager job in  Washington,   D.C.  at  Coffee and Bagel Brands  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/16164335/Catering-Sales-Manager-D-C-Washington
15,2026-04-09 14:51:42.678540," Business Development Executive, Supply Chain, LE job in   D.C.  at  Gartner  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/10932316/Business-Development-Executive-Supply-Chain-Le-D-C
16,2026-04-09 14:51:42.678540, Service Contracts Manager job in   D.C.  at  ABB Inc.  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/16395044/Service-Contracts-Manager-D-C
17,2026-04-09 14:51:42.678540," Cisco Call Manager Engineer, TS/SCI job in   D.C.  at  CDW  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/15187912/Cisco-Call-Manager-Engineer-D-C
18,2026-04-09 14:51:42.678540, Senior Traffic Engineer job in   D.C.  at  Cubic Corporation  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/16045289/Senior-Traffic-Engineer-D-C
19,2026-04-09 14:51:42.678540," Director, Data and AI Architect job in   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/16242241/Director-Data-Ai-Architect-D-C
20,2026-04-09 14:51:42.678540, Sales Manager job in   D.C.  at  ENGIE North America Inc.  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/15152860/Sales-Manager-D-C
21,2026-04-09 14:51:42.678540," Senior Clinical Trial Manager-  (Sponsor-Dedicated, Remote - US) job in   D.C.  at  Syneos Health/ inVentiv Health Commercial LLC  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/15648040/Site-Monitoring-Lead-Sponsor-Dedicated-Remote-Us-D-C
