0,2026-05-26 16:39:24.156318," Investor Services Manager - PA-CC-Q2-2006- R004 job in   D.C.  at  SS&C Technologies, Inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/16464539/Investor-Services-Manager-Pa-Cc-Q2-2006-R004-D-C
1,2026-05-26 16:39:24.156318," Business Development  Executive- Large Enterprise, Public Sector job in   D.C.  at  Gartner  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/17022522/Business-Development-Executive-Large-Enterprise-Public-Sector-D-C
2,2026-05-26 16:39:24.156318, Experienced Clinical Trial Manager - Full-Service job in   D.C.  at  Syneos Health/ inVentiv Health Commercial LLC  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/16071123/Experienced-Clinical-Trial-Manager-Full-Service-D-C
3,2026-05-26 16:39:24.156318," Account Executive, Business Sales job in   D.C.  at  T-MOBILE USA, Inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/17020963/Account-Executive-Business-Sales-D-C
4,2026-05-26 16:39:24.156318," Senior Operations Analyst job in   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/16962079/Senior-Operations-Analyst-D-C
5,2026-05-26 16:39:24.156318," Sr. Software Engineer, Cloud Infrastructure - Slack job in   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/16995040/Sr-Software-Engineer-Cloud-Infrastructure-Slack-D-C
6,2026-05-26 16:39:24.156318," Software Engineer II, Cloud Infrastructure - Slack job in   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/16994946/Software-Engineer-Ii-Cloud-Infrastructure-Slack-D-C
7,2026-05-26 16:39:24.156318," Strategic Marketing Manager, Data Centers job in   D.C.  at  ABB Inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/16985663/Strategic-Marketing-Manager-Data-Centers-D-C
8,2026-05-26 16:39:24.156318, Solution Engineer job in   D.C.  at  Snowflake  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/16966254/Solution-Engineer-D-C
9,2026-05-26 16:39:24.156318," Clinical Project Manager II - Virology (Sponsor Dedicated - US Remote; Preference for Hybrid Foster City, CA) job in   D.C.  at  Syneos Health/ inVentiv Health Commercial LLC  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/16958889/Clinical-Project-Manager-Ii-Virology-Sponsor-Dedicated-Us-Remote-Preference-For-Hybrid-Foster-City-Ca-D-C
10,2026-05-26 16:39:24.156318," Catering Sales Manager job in  Washington,   D.C.  at  Coffee and Bagel Brands  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/16164335/Catering-Sales-Manager-D-C-Washington
11,2026-05-26 16:39:24.156318, Boiler Reliability Engineer job in   D.C.  at  Covanta  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/16954602/Boiler-Reliability-Engineer-D-C
12,2026-05-26 16:39:24.156318," Business Strategy Services Director, ACC job in  Washington,   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/16952925/Business-Services-Delivery-Director-Acc-D-C-Washington
13,2026-05-26 16:39:24.156318," Business Strategy Director job in   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/16952795/Business-Strategy-Director-D-C
14,2026-05-26 16:39:24.156318," Business Strategy Director job in  Washington,   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/16952707/Business-Strategy-Director-D-C-Washington
15,2026-05-26 16:39:24.156318," Territory Manager (Advanced Wound Dressings) - Washington D.C. & Baltimore, MD job in  Washington,   D.C.  at  Coloplast  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/16946380/Territory-Manager-Advanced-Wound-Dressings-Washington-D-C-Baltimore-Md-D-C-Washington
16,2026-05-26 16:39:24.156318," Project Manager I - Cell & Gene Therapy (Sponsor Dedicated - US Remote; Preference for Los Angeles, CA) job in   D.C.  at  Syneos Health/ inVentiv Health Commercial LLC  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/16942424/Project-Manager-I-Cell-Gene-Therapy-Sponsor-Dedicated-Us-Remote-Preference-For-Los-Angeles-Ca-D-C
17,2026-05-26 16:39:24.156318, Sales Manager job in   D.C.  at  ENGIE North America Inc.  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/15152860/Sales-Manager-D-C
18,2026-05-26 16:39:24.156318," Cisco Call Manager Engineer, TS/SCI job in   D.C.  at  CDW  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/15187912/Cisco-Call-Manager-Engineer-D-C
19,2026-05-26 16:39:24.156318, Senior M&A Integration Manager job in   D.C.  at  Covanta  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/16926271/Senior-Integration-Manager-D-C
20,2026-05-26 16:39:24.156318," Principal Solution Engineer, Financial Services job in   D.C.  at  Snowflake  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/16553370/Principal-Solution-Engineer-Financial-Services-D-C
