0,2026-06-06 14:27:31.061487, Academic Centers Manager job in   D.C.  at  ZEISS Meditec Inc.  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/16416259/Academic-Centers-Manager-D-C
1,2026-06-06 14:27:31.061487," Regional Territory Manager job in  Washington,   D.C.  at  Getinge  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/17171635/Regional-Territory-Manager-D-C-Washington
2,2026-06-06 14:27:31.061487," Clinical Project Manager II - Biomarker Study Management Experience required (Sponsor Dedicated - US Remote; Preference for Hybrid Foster City, CA) job in   D.C.  at  Syneos Health/ inVentiv Health Commercial LLC  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/17167962/Clinical-Project-Manager-Ii-Biomarker-Study-Management-Experience-Required-Sponsor-Dedicated-Us-Remote-Preference-For-Hybrid-Foster-City-Ca-D-C
3,2026-06-06 14:27:31.061487," Clinical Operations Resource Manager (Clinical Resourcing) - Hybrid: Raleigh, NC Highly Preferred job in   D.C.  at  Syneos Health/ inVentiv Health Commercial LLC  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/17167956/Clinical-Operations-Resource-Manager-Clinical-Resourcing-Hybrid-Raleigh-Nc-Highly-Preferred-D-C
4,2026-06-06 14:27:31.061487," Global Programs Associate job in  Washington,   D.C.  at  LGBTQ Victory Fund  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/17159126/Global-Programs-Associate-D-C-Washington
5,2026-06-06 14:27:31.061487," Analyst, Healthcare Medical Coding - Disputes, Claims & Investigations job in   D.C.  at  Stout  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/16819650/Analyst-Healthcare-Medical-Coding-Disputes-Claims-Investigations-D-C
6,2026-06-06 14:27:31.061487," Manager, Investor Services  - PA2026Q2GCC036- job in   D.C.  at  SS&C Technologies, Inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/17153688/Manager-Investor-Services-Pa2026q2gcc036-D-C
7,2026-06-06 14:27:31.061487, Market Development Manager - Data Centers job in   D.C.  at  ABB Inc.  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/17153282/Market-Development-Manager-Data-Centers-D-C
8,2026-06-06 14:27:31.061487," Business Development Executive, Supply Chain, LE job in   D.C.  at  Gartner  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/10932316/Business-Development-Executive-Supply-Chain-Le-D-C
9,2026-06-06 14:27:31.061487, Clinical Project Manager II - Oncology - Gynecologic Malignancies experience required (Sponsor Dedicated / Remote - US) job in   D.C.  at  Syneos Health/ inVentiv Health Commercial LLC  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/17147421/Clinical-Project-Manager-Ii-Oncology-Gynecologic-Malignancies-Experience-Required-Sponsor-Dedicated-Remote-Us-D-C
10,2026-06-06 14:27:31.061487," Missionforce - Senior/Lead Forward Deployed Engineer (FDE), Public Sector job in  Washington,   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/16183418/Missionforce-Senior-Lead-Forward-Deployed-Engineer-Fde-Public-Sector-D-C-Washington
11,2026-06-06 14:27:31.061487," Forward Deployed Engineering Lead job in  Washington,   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/17142304/Forward-Deployed-Engineering-Lead-D-C-Washington
12,2026-06-06 14:27:31.061487," Agentforce Forward Deployed Engineer B2C Commerce job in  Washington,   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/17142292/Agentforce-Forward-Deployed-Engineer-B2c-Commerce-D-C-Washington
13,2026-06-06 14:27:31.061487," Account Executive, Agentforce/Data Cloud - Public Sector & Nonprofit job in   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/16136088/Account-Executive-Agentforce-Data-Cloud-Public-Sector-Nonprofit-D-C
14,2026-06-06 14:27:31.061487," Missionforce - Associate Forward Deployed Engineer (FDE), Public Sector job in  Washington,   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/16136091/Missionforce-Associate-Forward-Deployed-Engineer-Fde-Public-Sector-D-C-Washington
15,2026-06-06 14:27:31.061487," Territory Account Manager job in  Washington,   D.C.  at  Syneos Health/ inVentiv Health Commercial LLC  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/17123171/Territory-Account-Manager-D-C-Washington
16,2026-06-06 14:27:31.061487," Manager, Injection Systems - Equipment & Process Performance job in   D.C.  at  Amcor Rigid Packaging  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/16790575/Manager-Injection-Systems-Equipment-Process-Performance-D-C
