0,2026-06-09 15:51:58.431421, Digital Pathology Field Service Engineer job in   D.C.  at  TD SYNNEX  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/17196403/Digital-Pathology-Field-Service-Engineer-D-C
1,2026-06-09 15:51:58.431421," Director, Clinical Business Development job in  Washington,   D.C.  at  Syneos Health/ inVentiv Health Commercial LLC  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/14604484/Executive-Director-Business-Development-Core-D-C-Washington
2,2026-06-09 15:51:58.431421," Manager I, Field Technical Service Engineering - Surgical job in  Washington,   D.C.  at  Alcon  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/16851059/Manager-I-Field-Technical-Service-Engineering-Surgical-D-C-Washington
3,2026-06-09 15:51:58.431421," Deputy Delivery Manager, Owners Advisory job in  Washington,   D.C.  at  Brown and Caldwell  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/16799402/Deputy-Delivery-Manager-Owners-Advisory-D-C-Washington
4,2026-06-09 15:51:58.431421," Dealer.com Performance Manager job in  Washington,   D.C.  at  Cox  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/17174466/Dealer-Com-Performance-Manager-D-C-Washington
5,2026-06-09 15:51:58.431421, Academic Centers Manager job in   D.C.  at  ZEISS Meditec Inc.  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/16416259/Academic-Centers-Manager-D-C
6,2026-06-09 15:51:58.431421," Regional Territory Manager job in  Washington,   D.C.  at  Getinge  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/17171635/Regional-Territory-Manager-D-C-Washington
7,2026-06-09 15:51:58.431421," Clinical Operations Resource Manager (Clinical Resourcing) - Hybrid: Raleigh, NC Highly Preferred job in   D.C.  at  Syneos Health/ inVentiv Health Commercial LLC  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/17167956/Clinical-Operations-Resource-Manager-Clinical-Resourcing-Hybrid-Raleigh-Nc-Highly-Preferred-D-C
8,2026-06-09 15:51:58.431421," Global Programs Associate job in  Washington,   D.C.  at  LGBTQ Victory Fund  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/17159126/Global-Programs-Associate-D-C-Washington
9,2026-06-09 15:51:58.431421," Analyst, Healthcare Medical Coding - Disputes, Claims & Investigations job in   D.C.  at  Stout  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/16819650/Analyst-Healthcare-Medical-Coding-Disputes-Claims-Investigations-D-C
10,2026-06-09 15:51:58.431421," Manager, Investor Services  - PA2026Q2GCC036- job in   D.C.  at  SS&C Technologies, Inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/17153688/Manager-Investor-Services-Pa2026q2gcc036-D-C
11,2026-06-09 15:51:58.431421, Market Development Manager - Data Centers job in   D.C.  at  ABB Inc.  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/17153282/Market-Development-Manager-Data-Centers-D-C
12,2026-06-09 15:51:58.431421," Business Development Executive, Supply Chain, LE job in   D.C.  at  Gartner  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/10932316/Business-Development-Executive-Supply-Chain-Le-D-C
13,2026-06-09 15:51:58.431421, Clinical Project Manager II - Oncology - Gynecologic Malignancies experience required (Sponsor Dedicated / Remote - US) job in   D.C.  at  Syneos Health/ inVentiv Health Commercial LLC  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/17147421/Clinical-Project-Manager-Ii-Oncology-Gynecologic-Malignancies-Experience-Required-Sponsor-Dedicated-Remote-Us-D-C
