0,2026-06-10 16:32:54.762616," Business Development Manager job in   D.C.  at  Amcor Flexibles, LLC  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/16135518/Business-Development-Manager-D-C
1,2026-06-10 16:32:54.762616," Forestry Technical Officer/Forestry Technical Manager, depending on experience job in   D.C.  at  Winrock International  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/17209206/Forestry-Technical-Officer-Forestry-Technical-Manager-Depending-On-Experience-D-C
2,2026-06-10 16:32:54.762616, Global Product Manager - Transformers job in   D.C.  at  ABB Inc.  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/17208535/Global-Product-Manager-Transformers-D-C
3,2026-06-10 16:32:54.762616," Senior Practice Manager, Healthcare & Life Science job in   D.C.  at  Snowflake  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/17203294/Senior-Practice-Manager-Healthcare-Life-Science-D-C
4,2026-06-10 16:32:54.762616, Government Guaranteed Lending Business Development Officer job in   D.C.  at  Ameris Bank  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/15904851/Government-Guaranteed-Lending-Business-Development-Officer-D-C
5,2026-06-10 16:32:54.762616," Director, Clinical Business Development job in  Washington,   D.C.  at  Syneos Health/ inVentiv Health Commercial LLC  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/14604484/Executive-Director-Business-Development-Core-D-C-Washington
6,2026-06-10 16:32:54.762616," Manager I, Field Technical Service Engineering - Surgical job in  Washington,   D.C.  at  Alcon  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/16851059/Manager-I-Field-Technical-Service-Engineering-Surgical-D-C-Washington
7,2026-06-10 16:32:54.762616," Deputy Delivery Manager, Owners Advisory job in  Washington,   D.C.  at  Brown and Caldwell  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/16799402/Deputy-Delivery-Manager-Owners-Advisory-D-C-Washington
8,2026-06-10 16:32:54.762616," Dealer.com Performance Manager job in  Washington,   D.C.  at  Cox  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/17174466/Dealer-Com-Performance-Manager-D-C-Washington
9,2026-06-10 16:32:54.762616, Academic Centers Manager job in   D.C.  at  ZEISS Meditec Inc.  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/16416259/Academic-Centers-Manager-D-C
10,2026-06-10 16:32:54.762616," Regional Territory Manager job in  Washington,   D.C.  at  Getinge  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/17171635/Regional-Territory-Manager-D-C-Washington
11,2026-06-10 16:32:54.762616," Clinical Project Manager II - Biomarker Study Management Experience required (Sponsor Dedicated - US Remote; Preference for Hybrid Foster City, CA) job in   D.C.  at  Syneos Health/ inVentiv Health Commercial LLC  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/17167962/Clinical-Project-Manager-Ii-Biomarker-Study-Management-Experience-Required-Sponsor-Dedicated-Us-Remote-Preference-For-Hybrid-Foster-City-Ca-D-C
12,2026-06-10 16:32:54.762616," Clinical Operations Resource Manager (Clinical Resourcing) - Hybrid: Raleigh, NC Highly Preferred job in   D.C.  at  Syneos Health/ inVentiv Health Commercial LLC  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/17167956/Clinical-Operations-Resource-Manager-Clinical-Resourcing-Hybrid-Raleigh-Nc-Highly-Preferred-D-C
13,2026-06-10 16:32:54.762616," Global Programs Associate job in  Washington,   D.C.  at  LGBTQ Victory Fund  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/17159126/Global-Programs-Associate-D-C-Washington
14,2026-06-10 16:32:54.762616," Analyst, Healthcare Medical Coding - Disputes, Claims & Investigations job in   D.C.  at  Stout  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/16819650/Analyst-Healthcare-Medical-Coding-Disputes-Claims-Investigations-D-C
15,2026-06-10 16:32:54.762616," Manager, Investor Services  - PA2026Q2GCC036- job in   D.C.  at  SS&C Technologies, Inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/17153688/Manager-Investor-Services-Pa2026q2gcc036-D-C
16,2026-06-10 16:32:54.762616, Market Development Manager - Data Centers job in   D.C.  at  ABB Inc.  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/17153282/Market-Development-Manager-Data-Centers-D-C
