0,2026-06-19 15:57:46.216173, Senior M&A Integration Manager job in   D.C.  at  Covanta  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/16926271/Senior-Integration-Manager-D-C
1,2026-06-19 15:57:46.216173, Solution Engineer job in   D.C.  at  Snowflake  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/16966254/Solution-Engineer-D-C
2,2026-06-19 15:57:46.216173," Catering Sales Manager job in  Washington,   D.C.  at  Coffee and Bagel Brands  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/16164335/Catering-Sales-Manager-D-C-Washington
3,2026-06-19 15:57:46.216173," Sr. Software Engineer job in   D.C.  at  SS&C Technologies, Inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/16705654/Sr-Software-Engineer-D-C
4,2026-06-19 15:57:46.216173, Capital Planning-Business Analyst Lead job in   D.C.  at  Chevo Consulting  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/17282716/Capital-Planning-Business-Analyst-Lead-D-C
5,2026-06-19 15:57:46.216173, Sr. Financial Management-Business Analyst Lead job in   D.C.  at  Chevo Consulting  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/17282715/Sr-Financial-Management-Business-Analyst-Lead-D-C
6,2026-06-19 15:57:46.216173, Capital Planning Analysts job in   D.C.  at  Chevo Consulting  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/17282714/Capital-Planning-Analysts-D-C
7,2026-06-19 15:57:46.216173, Governance & IRB Analysts job in   D.C.  at  Chevo Consulting  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/17282713/Governance-Irb-Analysts-D-C
8,2026-06-19 15:57:46.216173, Senior MS Access/Database Developer (BOB FMT Lead) job in   D.C.  at  Chevo Consulting  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/17282712/Senior-Ms-Access-Database-Developer-Bob-Fmt-Lead-D-C
9,2026-06-19 15:57:46.216173," Project Manager I - Cell & Gene Therapy (Sponsor Dedicated - US Remote; Preference for Los Angeles, CA) job in   D.C.  at  Syneos Health/ inVentiv Health Commercial LLC  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/16942424/Project-Manager-I-Cell-Gene-Therapy-Sponsor-Dedicated-Us-Remote-Preference-For-Los-Angeles-Ca-D-C
10,2026-06-19 15:57:46.216173," Dealer.com Performance Manager job in  Washington,   D.C.  at  Cox  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/17279364/Dealer-Com-Performance-Manager-D-C-Washington
11,2026-06-19 15:57:46.216173," Cisco Call Manager Engineer, TS/SCI job in   D.C.  at  CDW  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/15187912/Cisco-Call-Manager-Engineer-D-C
12,2026-06-19 15:57:46.216173," Senior Clinical Project Manager - Inflammation/ Phase 2b (Sponsor Dedicated - Remote; Preference for Hybrid Foster City, CA ) job in   D.C.  at  Syneos Health/ inVentiv Health Commercial LLC  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/16883286/Sr-Project-Manager-D-C
13,2026-06-19 15:57:46.216173, Data Center Solutions Architect job in   D.C.  at  Daikin Applied  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/17236415/Data-Center-Solutions-Architect-D-C
14,2026-06-19 15:57:46.216173," Manager, Global Billing Operations job in   D.C.  at  Recorded Future  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/16893746/Manager-Global-Billing-Operations-D-C
