0,2026-06-24 15:31:20.889378," Manager, Growth job in   D.C.  at  Chemonics International Inc  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/17365691/Manager-Growth-D-C
1,2026-06-24 15:31:20.889378," Account Solution Engineer - Department of War (All Levels) job in  Washington,   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/16861308/Account-Solution-Engineer-Department-War-All-Levels-D-C-Washington
2,2026-06-24 15:31:20.889378," Solution Engineer - Aerospace & Defense/Government System Integrators (All Levels) job in  Washington,   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/16861395/Account-Solution-Engineer-A-D-Govsi-All-Levels-D-C-Washington
3,2026-06-24 15:31:20.889378," Account Solution Engineer - Federal Civilian (All Levels) job in  Washington,   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/16861312/Account-Solution-Engineer-Federal-Civilian-All-Levels-D-C-Washington
4,2026-06-24 15:31:20.889378," Account Executive, Business Sales job in   D.C.  at  T-MOBILE USA, Inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/17020963/Account-Executive-Business-Sales-D-C
5,2026-06-24 15:31:20.889378," Business Development  Executive- Large Enterprise, Public Sector job in   D.C.  at  Gartner  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/17022522/Business-Development-Executive-Large-Enterprise-Public-Sector-D-C
6,2026-06-24 15:31:20.889378," Project Manager I - Cell & Gene Therapy (Sponsor Dedicated - US Remote; Preference for Hybrid Los Angeles, CA) job in   D.C.  at  Syneos Health/ inVentiv Health Commercial LLC  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/17338016/Project-Manager-I-Cell-Gene-Therapy-Sponsor-Dedicated-Us-Remote-Preference-For-Hybrid-Los-Angeles-Ca-D-C
7,2026-06-24 15:31:20.889378, Project Manager II -HIV Research Local Studies & Portfolio Management Support (Sponsor Dedicated/ Remote US) job in   D.C.  at  Syneos Health/ inVentiv Health Commercial LLC  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/17337965/Project-Manager-Ii-Hiv-Research-Local-Studies-Portfolio-Management-Support-Sponsor-Dedicated-Remote-Us-D-C
8,2026-06-24 15:31:20.889378," Senior Product Delivery Manager job in   D.C.  at  Karsun Solutions, LLC  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/17336746/Senior-Product-Delivery-Manager-D-C
9,2026-06-24 15:31:20.889378," Strategic Account Manager job in  Washington,   D.C.  at  Getinge  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/17001466/Strategic-Account-Manager-D-C-Washington
10,2026-06-24 15:31:20.889378, Strategic Segment Proposal Engineer job in   D.C.  at  ABB Inc.  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/17334111/Strategic-Segment-Proposal-Engineer-D-C
11,2026-06-24 15:31:20.889378, Account Manager - Commercial & Light Industrial job in   D.C.  at  ABB Inc.  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/17334006/Account-Manager-Commercial-Light-Industrial-D-C
12,2026-06-24 15:31:20.889378, EPM Field Application Engineer job in   D.C.  at  ABB Inc.  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/17333832/Epm-Field-Application-Engineer-D-C
13,2026-06-24 15:31:20.889378," Business Development Representative - Public Sector (Higher Education and Academic Medical Centers) job in   D.C.  at  Genesys Cloud Services, Inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/17329595/Business-Development-Representative-Public-Sector-Higher-Education-Academic-Medical-Centers-D-C
14,2026-06-24 15:31:20.889378, Lead Account Manager - US Federal - Independent Agencies job in   D.C.  at  Citrix Systems  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/15890153/Lead-Account-Manager-Us-Federal-Civilian-D-C
15,2026-06-24 15:31:20.889378," Lead Program Performance Management Analyst job in   D.C.  at  Saab, Inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/17307137/Lead-Program-Performance-Management-Analyst-D-C
16,2026-06-24 15:31:20.889378, Boiler Reliability Engineer job in   D.C.  at  Covanta  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/16954602/Boiler-Reliability-Engineer-D-C
17,2026-06-24 15:31:20.889378, Senior M&A Integration Manager job in   D.C.  at  Covanta  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/16926271/Senior-Integration-Manager-D-C
18,2026-06-24 15:31:20.889378," Sr. Software Engineer job in   D.C.  at  SS&C Technologies, Inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/16705654/Sr-Software-Engineer-D-C
19,2026-06-24 15:31:20.889378, Capital Planning-Business Analyst Lead job in   D.C.  at  Chevo Consulting  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/17282716/Capital-Planning-Business-Analyst-Lead-D-C
20,2026-06-24 15:31:20.889378, Sr. Financial Management-Business Analyst Lead job in   D.C.  at  Chevo Consulting  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/17282715/Sr-Financial-Management-Business-Analyst-Lead-D-C
