0,2026-06-27 14:26:51.110144, Senior Practice Manager job in   D.C.  at  Snowflake  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/16730987/Senior-Practice-Manager-D-C
1,2026-06-27 14:26:51.110144," Portfolio Leader (Manager/Sr. Manager/Director) job in  Washington,   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/17411257/Portfolio-Leader-Manager-Sr-Manager-Director-D-C-Washington
2,2026-06-27 14:26:51.110144," Portfolio Leader (Manager/Sr. Manager/Director) job in   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/17411242/Portfolio-Leader-Manager-Sr-Manager-Director-D-C
3,2026-06-27 14:26:51.110144," Forward Deployed Engineer (All Levels) job in  Washington,   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/17408719/Forward-Deployed-Engineer-All-Levels-D-C-Washington
4,2026-06-27 14:26:51.110144," Clinical Data Reviewer - Oncology Required (US, CAN Only) job in   D.C.  at  Syneos Health/ inVentiv Health Commercial LLC  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/17397134/Clinical-Data-Reviewer-Oncology-Required-Us-Can-Only-D-C
5,2026-06-27 14:26:51.110144, Senior Site Contracts Manager (Sponsor Dedicated /Remote - US Based) job in   D.C.  at  Syneos Health/ inVentiv Health Commercial LLC  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/17397086/Senior-Site-Contracts-Manager-Sponsor-Dedicated-Remote-Us-Based-D-C
6,2026-06-27 14:26:51.110144," Manager, Program Performance Management job in   D.C.  at  Saab, Inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/17390183/Manager-Program-Performance-Management-D-C
7,2026-06-27 14:26:51.110144, Sr. Clinical Programmer job in   D.C.  at  Syneos Health/ inVentiv Health Commercial LLC  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/17385904/Sr-Clinical-Programmer-D-C
8,2026-06-27 14:26:51.110144," Sr. Software Engineer, Cloud Network - Slack job in   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/17041306/Sr-Software-Engineer-Cloud-Network-Slack-D-C
9,2026-06-27 14:26:51.110144," Staff Software Engineer, Data Ingestion - Slack job in   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/17050213/Staff-Software-Engineer-Data-Ingestion-Slack-D-C
10,2026-06-27 14:26:51.110144, Senior Project Engineer job in   D.C.  at  ABB Inc.  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/14522346/Senior-Project-Engineer-D-C
11,2026-06-27 14:26:51.110144," Dir., Business Development, High Growth Markets job in   D.C.  at  Mercury Systems  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/17368295/Dir-Business-Development-High-Growth-Markets-D-C
12,2026-06-27 14:26:51.110144," Manager, Growth job in   D.C.  at  Chemonics International Inc  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/17365691/Manager-Growth-D-C
13,2026-06-27 14:26:51.110144," Account Solution Engineer - Department of War (All Levels) job in  Washington,   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/16861308/Account-Solution-Engineer-Department-War-All-Levels-D-C-Washington
14,2026-06-27 14:26:51.110144," Solution Engineer - Aerospace & Defense/Government System Integrators (All Levels) job in  Washington,   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/16861395/Account-Solution-Engineer-A-D-Govsi-All-Levels-D-C-Washington
15,2026-06-27 14:26:51.110144," Account Solution Engineer - Federal Civilian (All Levels) job in  Washington,   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/16861312/Account-Solution-Engineer-Federal-Civilian-All-Levels-D-C-Washington
16,2026-06-27 14:26:51.110144, Regional Sales Manager - Traction - Americas job in   D.C.  at  ABB Inc.  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/17001908/Regional-Sales-Manager-Traction-Americas-D-C
17,2026-06-27 14:26:51.110144, Experienced Clinical Trial Manager - Full-Service job in   D.C.  at  Syneos Health/ inVentiv Health Commercial LLC  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/16071123/Experienced-Clinical-Trial-Manager-Full-Service-D-C
18,2026-06-27 14:26:51.110144," Account Executive, Business Sales job in   D.C.  at  T-MOBILE USA, Inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/17020963/Account-Executive-Business-Sales-D-C
19,2026-06-27 14:26:51.110144," Business Development  Executive- Large Enterprise, Public Sector job in   D.C.  at  Gartner  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/17022522/Business-Development-Executive-Large-Enterprise-Public-Sector-D-C
20,2026-06-27 14:26:51.110144," Project Manager I - Cell & Gene Therapy (Sponsor Dedicated - US Remote; Preference for Hybrid Los Angeles, CA) job in   D.C.  at  Syneos Health/ inVentiv Health Commercial LLC  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/17338016/Project-Manager-I-Cell-Gene-Therapy-Sponsor-Dedicated-Us-Remote-Preference-For-Hybrid-Los-Angeles-Ca-D-C
21,2026-06-27 14:26:51.110144, Project Manager II -HIV Research Local Studies & Portfolio Management Support (Sponsor Dedicated/ Remote US) job in   D.C.  at  Syneos Health/ inVentiv Health Commercial LLC  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/17337965/Project-Manager-Ii-Hiv-Research-Local-Studies-Portfolio-Management-Support-Sponsor-Dedicated-Remote-Us-D-C
22,2026-06-27 14:26:51.110144," Senior Product Delivery Manager job in   D.C.  at  Karsun Solutions, LLC  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/17336746/Senior-Product-Delivery-Manager-D-C
23,2026-06-27 14:26:51.110144, Strategic Segment Proposal Engineer job in   D.C.  at  ABB Inc.  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/17334111/Strategic-Segment-Proposal-Engineer-D-C
24,2026-06-27 14:26:51.110144, Account Manager - Commercial & Light Industrial job in   D.C.  at  ABB Inc.  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/17334006/Account-Manager-Commercial-Light-Industrial-D-C
