0,2026-07-11 14:20:26.107076, Data Center Solutions Architect job in   D.C.  at  Daikin Applied  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/17236415/Data-Center-Solutions-Architect-D-C
1,2026-07-11 14:20:26.107076," Senior Clinical Project Manager - Inflammation/ Phase 2b (Sponsor Dedicated - Remote; Preference for Hybrid Foster City, CA ) job in   D.C.  at  Syneos Health/ inVentiv Health Commercial LLC  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/16883286/Sr-Project-Manager-D-C
2,2026-07-11 14:20:26.107076, Commercial Proposal Engineer job in   D.C.  at  ABB Inc.  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/16841901/Commercial-Proposal-Engineer-D-C
3,2026-07-11 14:20:26.107076," Clinical Data Reviewer - Oncology Required (US, CAN Only) job in   D.C.  at  Syneos Health/ inVentiv Health Commercial LLC  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/17397134/Clinical-Data-Reviewer-Oncology-Required-Us-Can-Only-D-C
4,2026-07-11 14:20:26.107076," Senior Practice Manager, Healthcare & Life Science job in   D.C.  at  Snowflake  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/17203294/Senior-Practice-Manager-Healthcare-Life-Science-D-C
5,2026-07-11 14:20:26.107076," Forestry Technical Officer/Forestry Technical Manager, depending on experience job in   D.C.  at  Winrock International  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/17209206/Forestry-Technical-Officer-Forestry-Technical-Manager-Depending-On-Experience-D-C
6,2026-07-11 14:20:26.107076," Business Development Manager job in   D.C.  at  Amcor Flexibles, LLC  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/16135518/Business-Development-Manager-D-C
7,2026-07-11 14:20:26.107076," Clinical Project Manager II - Virology /Phase I  (Sponsor Dedicated - US Remote; Preference for Hybrid Foster City, CA) job in   D.C.  at  Syneos Health/ inVentiv Health Commercial LLC  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/17521490/Clinical-Project-Manager-Ii-Virology-Phase-I-Sponsor-Dedicated-Us-Remote-Preference-For-Hybrid-Foster-City-Ca-D-C
8,2026-07-11 14:20:26.107076, Digital Pathology Field Service Engineer job in   D.C.  at  TD SYNNEX  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/17196403/Digital-Pathology-Field-Service-Engineer-D-C
9,2026-07-11 14:20:26.107076, Program Manager job in   D.C.  at  Cubic Corporation  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/17510863/Program-Manager-D-C
10,2026-07-11 14:20:26.107076," Manager I, Field Technical Service Engineering - Surgical job in  Washington,   D.C.  at  Alcon  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/16851059/Manager-I-Field-Technical-Service-Engineering-Surgical-D-C-Washington
11,2026-07-11 14:20:26.107076," Manager, Injection Systems - Equipment & Process Performance job in   D.C.  at  Amcor Rigid Packaging  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/16790575/Manager-Injection-Systems-Equipment-Process-Performance-D-C
