0,2026-08-26 13:51:37.545788, Account Manager - East Coast job in   D.C.  at  Cubic Corporation  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/17731900/Account-Manager-East-Coast-D-C
1,2026-08-26 13:51:37.545788," Business Development Executive, GBS HR LE job in   D.C.  at  Gartner  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/18084004/Business-Development-Executive-Gbs-Hr-Le-D-C
2,2026-08-26 13:51:37.545788," Lead Program Performance Management Analyst job in   D.C.  at  Saab, Inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/18083863/Lead-Program-Performance-Management-Analyst-D-C
3,2026-08-26 13:51:37.545788, Senior M&A Integration Manager job in   D.C.  at  Covanta  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/16926271/Senior-Integration-Manager-D-C
4,2026-08-26 13:51:37.545788," Director, Software Engineering job in   D.C.  at  Performance Review Institute (PRI)  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/17707577/Director-Software-Engineering-D-C
5,2026-08-26 13:51:37.545788," Principal Account Manager - Federal Civilian job in   D.C.  at  Cloud Software Group, LLC  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/17703131/Principal-Account-Manager-Federal-Civilian-D-C
6,2026-08-26 13:51:37.545788," Principal Enterprise Account Manager - Federal Healthcare job in   D.C.  at  Cloud Software Group, LLC  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/17703128/Principal-Enterprise-Account-Manager-Federal-Healthcare-D-C
7,2026-08-26 13:51:37.545788, Clinical Trial Manager - Full Service job in   D.C.  at  Syneos Health/ inVentiv Health Commercial LLC  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/17687511/Clinical-Trial-Manager-Full-Service-D-C
8,2026-08-26 13:51:37.545788, Sr. Program Associate job in   D.C.  at  ZERO TO THREE  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/18038858/Sr-Program-Associate-D-C
9,2026-08-26 13:51:37.545788, Senior Commercial Program Underwriter - Remote job in   D.C.  at  CSAA  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/18036755/Senior-Commercial-Program-Underwriter-Remote-D-C
10,2026-08-26 13:51:37.545788," Account Solution Engineer - Federal Civilian (All Levels) job in  Washington,   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/16861312/Account-Solution-Engineer-Federal-Civilian-All-Levels-D-C-Washington
11,2026-08-26 13:51:37.545788," Account Solution Engineer - Department of War (All Levels) job in  Washington,   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/16861308/Account-Solution-Engineer-Department-War-All-Levels-D-C-Washington
12,2026-08-26 13:51:37.545788," Dir., Business Development, High Growth Markets job in   D.C.  at  Mercury Systems  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/17368295/Dir-Business-Development-High-Growth-Markets-D-C
13,2026-08-26 13:51:37.545788," Senior Data Science Consultant, Insurance - Remote job in   D.C.  at  CSAA  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/17728717/Senior-Data-Science-Consultant-Insurance-Remote-D-C
14,2026-08-26 13:51:37.545788, Global Trials Optimization Specialist / Project Manager I (Sponsor Dedicated/Remote - US only) job in   D.C.  at  Syneos Health/ inVentiv Health Commercial LLC  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/18008941/Global-Trials-Optimization-Specialist-Project-Manager-I-Sponsor-Dedicated-Remote-Us-Only-D-C
15,2026-08-26 13:51:37.545788, Digital Pathology Field Service Engineer job in   D.C.  at  TD SYNNEX  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/17196403/Digital-Pathology-Field-Service-Engineer-D-C
16,2026-08-26 13:51:37.545788, Data Center CoE - Sr. Field Service Technician job in   D.C.  at  ABB Inc.  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/16995631/Data-Center-Coe-Sr-Field-Service-Technician-D-C
17,2026-08-26 13:51:37.545788, Data Center CoE - Field Service Technician II job in   D.C.  at  ABB Inc.  | Search Jobs Nearby or Remote Jobs ,https://www.diversityjobs.com/career/17822273/Data-Center-Coe-Field-Service-Technician-Ii-D-C
18,2026-08-26 13:51:37.545788," Customer Success Manager - Senior Manager - Global Public Sector - (Federal Civilian) job in   D.C.  at  salesforce.com, inc.  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/17995157/Customer-Success-Manager-Senior-Manager-Global-Public-Sector-Federal-Civilian-D-C
19,2026-08-26 13:51:37.545788," Business Development  Executive- Large Enterprise, Public Sector job in   D.C.  at  Gartner  | Search Jobs Nearby or Remote Jobs ",https://www.diversityjobs.com/career/17022522/Business-Development-Executive-Large-Enterprise-Public-Sector-D-C
